time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1717442110917274395,19000,6000,1717442111696434016,98,62
1717442114636670844,19000,18000,1717442115560446545,108,286
1717442119027030294,2000,18000,1717442119892362668,417,275
1717442122820133157,2000,6000,1717442123841548183,418,55
1717442126051752853,9700,12000,1717442126799011903,276,170
1717442128501402710,4386,7250,1717442129328975396,372,80
1717442130663507029,4249,13738,1717442131486870887,377,198
1717442132682728055,2092,8136,1717442133515075615,417,96
1717442135825209425,14027,11888,1717442136786734866,196,170
1717442137524481370,14925,8440,1717442138455140134,177,107
1717442138965863266,14591,6032,1717442138969982261,177,106
1717442140104809768,8924,8418,1717442141029343844,289,104
1717442143069548134,2115,17453,1717442143779483434,417,265
1717442146004378123,10049,7665,1717442146829408474,267,91
1717442148537598118,17357,14921,1717442149378712936,136,227
1717442150532203261,11540,12580,1717442151489067546,242,182
1717442152674263146,6441,17607,1717442153381519096,337,270
1717442154984878185,14479,14386,1717442155690852431,189,215
1717442157462744805,4470,13916,1717442158388426510,372,203
1717442160162225874,14135,15246,1717442160865302514,195,231
1717442161792432272,18383,12184,1717442162656173535,113,178
1717442163741205937,15453,17089,1717442164483476723,173,267
1717442164831584464,14000,15643,1717442164863368923,172,265
1717442167087064235,3976,7405,1717442167858721053,381,82
1717442169705338179,12175,14345,1717442170615884716,232,214
1717442172330114749,8020,6477,1717442173217041873,305,67
1717442174845448332,17004,7280,1717442175650785266,136,84
1717442177310736057,7760,8125,1717442178328114933,309,96
1717442179293180724,12831,6863,1717442180484401954,215,75
1717442182373210532,3961,12648,1717442183269562313,381,180
1717442183929957819,2547,15610,1717442184842007203,407,231
1717442186400125562,10507,12810,1717442187306686268,261,185
1717442188775090537,17266,17702,1717442189541472597,138,279
1717442191842840207,5785,12552,1717442192563839525,348,179
1717442193739377058,5236,6865,1717442194548780467,357,73
1717442195807839883,7656,12689,1717442196570888455,312,182
1717442197413364748,3423,14273,1717442198168115812,392,207
1717442199915668850,13020,13477,1717442200678985232,216,198
1717442201878583835,15422,7972,1717442202794213943,166,96
1717442205621859876,2379,16999,1717442206660155607,411,257
1717442208710153146,3194,7046,1717442209551789876,395,75
1717442211404726216,5933,15677,1717442212207565424,345,234
1717442213730820087,12446,9458,1717442214688858367,224,125
1717442216938399380,2191,16912,1717442217746063424,414,254
1717442221103573347,18711,9780,1717442222060462625,105,134
1717442223098028698,16237,14395,1717442223815103924,156,218
1717442225101281328,11756,8795,1717442225927703503,236,113
1717442227226661810,18221,11239,1717442228234677373,116,160
1717442229328482176,13330,7489,1717442230125510931,207,88
1717442231408578564,6539,8780,1717442232238528853,332,110
1717442234669724768,17832,16108,1717442235365836949,127,251
1717442237597978973,5420,16828,1717442238460928647,355,256
1717442239833595870,12578,15114,1717442240547869025,223,227
1717442242082631682,10193,7864,1717442242840042591,264,93
1717442244191839324,15132,13686,1717442244993224773,176,203
1717442247267506972,3072,10976,1717442247982881184,398,148
1717442248861520312,7072,13751,1717442249624429826,325,199
1717442250994964301,13818,10815,1717442251949563184,199,150
1717442253145265079,18871,15675,1717442254049590867,107,243
1717442257437580756,2073,7991,1717442258170309045,417,93
1717442260243323032,12762,11026,1717442260977133305,218,153
1717442261636038124,9640,12279,1717442262972896982,277,174
1717442263767034109,13480,13962,1717442264524901178,207,207
1717442266255763023,4332,15944,1717442267169744334,374,238
1717442268443050644,10714,13618,1717442269185510234,257,199
1717442270130621828,8004,9410,1717442271060755476,305,123
1717442271949895115,8552,13487,1717442272709588711,296,197
1717442273158072788,7946,11437,1717442273167404780,297,196
1717442274722424690,14575,17792,1717442275682804392,189,277
1717442277695516669,15428,8064,1717442278524635819,166,99
1717442279243810028,11814,6881,1717442279967361970,235,76
1717442281447430554,10202,13864,1717442282194943699,267,204
1717442283782421149,17363,8568,1717442284687959416,130,109
1717442285973444878,11402,12388,1717442286907044121,244,177
1717442287039057329,11463,12924,1717442287043521042,244,177
1717442288328704952,10536,6841,1717442289152497253,257,75
1717442290761291907,13852,14139,1717442291765793645,200,211
1717442293298222273,6144,16960,1717442294209751414,341,258
1717442296348644351,11336,7352,1717442297189097241,243,85
1717442299347036749,17263,16920,1717442300081119998,139,264
1717442300685991145,15052,14358,1717442301580823235,180,216
1717442302696372025,17472,9316,1717442303429310883,129,123
1717442305155859212,15243,17348,1717442305854868050,176,272
1717442308140079223,4019,12063,1717442308897338705,379,169
1717442309434306109,6902,11817,1717442310418867824,326,165
1717442311224597167,4580,8337,1717442312084153237,370,99
1717442312403478081,5922,9356,1717442312407973885,369,100
1717442315106999568,18630,16898,1717442315827436257,113,266
1717442318063916144,7688,11904,1717442318801666782,314,168
1717442319825995597,3373,16110,1717442320618220416,393,242
1717442323344518399,18416,17140,1717442324286089874,119,270
1717442326337514110,18663,7198,1717442327063045835,106,85
1717442330069606549,3283,11908,1717442330826120262,394,166
1717442332575477270,11882,8068,1717442333445873680,233,98
1717442333845257161,11162,9781,1717442333849411415,232,99
1717442335598210727,5658,17461,1717442336419202696,351,266
1717442337147232068,7079,14255,1717442337900011799,323,209
1717442338572213325,4053,12151,1717442339472110134,379,171
1717442342049154474,17177,16420,1717442342756233561,139,256
1717442344072475342,10307,17930,1717442344858715655,267,278
1717442346272676850,17218,14975,1717442347014949846,137,228
1717442348947040240,7132,17377,1717442349832552481,324,266
1717442350450141532,5859,14654,1717442351616776845,347,216
1717442352235650691,2605,15107,1717442352989874048,407,223
1717442354333372816,9275,12543,1717442355167621126,283,179
1717442355884998302,12501,10538,1717442356665714324,223,144
1717442357328865001,12440,7401,1717442358163197976,223,85
1717442359587635202,17676,13042,1717442360416582608,128,193
1717442361355537674,16367,17347,1717442362100354076,158,273
1717442362507841807,16983,15548,1717442362512062893,157,272
1717442363307437330,17177,11772,1717442364114321375,136,168
