time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1717441760314436618,19000,6000,1717441762904389197,97,58
1717441765839520470,19000,18000,1717441768563421809,110,282
1717441772024680111,2000,18000,1717441774129658085,420,271
1717441777045656834,2000,6000,1717441779277407712,421,50
1717441781477827473,9700,12000,1717441784300357915,277,166
1717441785896790522,11630,6933,1717441788574831759,239,73
1717441789616690620,17296,6261,1717441792208843907,131,61
1717441793420902112,11995,11094,1717441795630117922,236,151
1717441795898828160,13407,10895,1717441795903116505,234,151
1717441797258788331,7130,6381,1717441799483924091,324,61
1717441801047361804,4752,13750,1717441803759597291,368,195
1717441805769862116,15236,10451,1717441808534056655,174,140
1717441808944225601,13120,11065,1717441808951245962,173,141
1717441810656548948,5406,17104,1717441813492813875,356,256
1717441814162393396,4043,14012,1717441817488800966,382,200
1717441818504356020,4303,8980,1717441820629541861,375,108
1717441821914126127,5409,15092,1717441824100109355,355,219
1717441824807147105,2553,12037,1717441827362628111,409,164
1717441828153404136,6352,9946,1717441830653286861,337,128
1717441832696079272,17549,11451,1717441835152729702,131,161
1717441837410229914,5094,13446,1717441840042086426,361,191
1717441842133121998,16242,11027,1717441844728133657,155,152
1717441845946592476,10546,7031,1717441848411128246,259,74
1717441850230159609,12510,15734,1717441852308531546,226,236
1717441854248001849,11359,6380,1717441856739094041,243,63
1717441858894976027,5961,16072,1717441861626025945,347,237
1717441862124278023,6443,13753,1717441862129253950,346,238
1717441863021372689,9836,17460,1717441865438335943,276,265
1717441866245502499,14339,17485,1717441868249816144,194,269
1717441868518166234,15191,16357,1717441868522174750,195,268
1717441870574943795,3786,16746,1717441872668854404,386,250
1717441875263754770,16545,10907,1717441877845728603,149,149
1717441880179386217,5464,17440,1717441882286882753,357,263
1717441884594031123,10306,6804,1717441887617580227,263,69
1717441890025856540,14158,17933,1717441892587341832,198,276
1717441894710722148,4455,10782,1717441896788864793,374,141
1717441897794938579,9245,13363,1717441900582242208,285,192
1717441901561277501,10237,8774,1717441903795198417,265,107
1717441905699042833,8566,17773,1717441907825614005,301,270
1717441908825512917,4297,13614,1717441911234453192,376,193
1717441912093737459,4841,17675,1717441914084037772,368,267
1717441915132719858,4710,12606,1717441917411369780,369,175
1717441918532998074,2493,17722,1717441920707735201,411,266
1717441923124189621,10727,7098,1717441925304684162,255,75
1717441926613377529,14462,12890,1717441928657975486,189,186
1717441929248093879,11219,12886,1717441931600207070,250,184
1717441932638746023,6635,9087,1717441935421511849,332,112
1717441937074031047,15630,10177,1717441939160695402,165,135
1717441939950927046,15302,6437,1717441942732571644,170,64
1717441944372633671,6179,6915,1717441946862449968,340,70
1717441948514346227,3859,14622,1717441950806239015,385,210
1717441951770553682,2864,10090,1717441954177166399,403,128
1717441955132796544,7672,8469,1717441957189193503,312,101
1717441959158638124,10744,17615,1717441961254092028,259,269
1717441963455186753,7836,7247,1717441965655765651,309,77
1717441967428242416,15604,14241,1717441969712309552,168,210
1717441970540948556,16702,10382,1717441972756084664,146,139
1717441973265359644,18230,8201,1717441973271166763,144,139
1717441975199463408,8575,11787,1717441977058449105,297,163
1717441977929994609,12435,15379,1717441980983195171,227,229
1717441982263056892,15134,9353,1717441985651192506,174,120
1717441987817993281,4576,15052,1717441990405474461,371,218
1717441992696142622,17289,16559,1717441995649597362,139,254
1717441997037324332,14883,9921,1717442000310548771,181,130
1717442002214764223,6138,17005,1717442004913234753,343,254
1717442005811685654,3814,12899,1717442005819588908,344,255
1717442007432400317,11517,7798,1717442010826456978,241,90
1717442012356959611,6634,14802,1717442014938917808,333,215
1717442015711129688,10935,14710,1717442015717437522,335,216
1717442017647321371,2189,7745,1717442021221939472,415,84
1717442023000790924,9944,15484,1717442026018791870,273,229
1717442026998732240,12479,11105,1717442029050284376,225,151
1717442030098379746,16257,6575,1717442032717916514,151,68
1717442034757207365,5301,8537,1717442037552066708,357,100
1717442039597818537,15276,14448,1717442042189289287,176,213
1717442042743027536,17999,13369,1717442042747140383,175,214
1717442045290171676,4045,10636,1717442047893124737,380,139
1717442050215440617,17298,11143,1717442053634863237,135,154
1717442056447429257,2358,15921,1717442059310936103,412,234
1717442060198545748,6741,13943,1717442062888743895,331,200
1717442063932696524,11726,10854,1717442067238366750,239,147
1717442067788913581,13938,8506,1717442067793113686,238,146
























