time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1718031358721854233,2000,7000,1718031359774968685,417,74
1718031362210274306,2000,9000,1718031362223033740,417,74
1718031364639768700,2000,11000,1718031364644703865,417,112
1718031367067814913,2000,13000,1718031367072084958,416,149
1718031369506448259,2000,15000,1718031369514935889,416,185
1718031371949991697,2000,17000,1718031371970926377,417,221
1718031376013542510,4000,7000,1718031376961266614,379,76
1718031379375793719,4000,9000,1718031379381669721,378,76
1718031381796487469,4000,11000,1718031381801207027,378,113
1718031384220040084,4000,13000,1718031384225443575,379,151
1718031386633438631,4000,15000,1718031386640350747,379,186
1718031389058275707,4000,17000,1718031389062593863,380,222
1718031393101053003,6000,7000,1718031393982992448,341,77
1718031396408449162,6000,9000,1718031396415550165,341,77
1718031398832464509,6000,11000,1718031398839650029,341,114
1718031401260069616,6000,13000,1718031401271444886,342,152
1718031403686648776,6000,15000,1718031403696200592,342,188
1718031406108801077,6000,17000,1718031406113273027,343,223
1718031410167615792,8000,7000,1718031411087853854,304,78
1718031413498144559,8000,9000,1718031413502263700,304,78
1718031415919599278,8000,11000,1718031415927278809,305,116
1718031418347836245,8000,13000,1718031418351870757,306,152
1718031420767938484,8000,15000,1718031420772533877,306,188
