time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1724938105585466464,13500,7500,1724938106818299545,115,153
1724938108128778735,9500,13500,1724938109311168301,192,262
1724938111324082817,11500,3500,1724938112466132434,149,76
1724938116304266466,1500,21500,1724938117326643012,320,402
1724938119794539411,13500,13500,1724938120919262572,117,264
1724938122411634900,5500,15500,1724938123410293314,265,297
1724938125011975186,13500,11500,1724938125785619534,116,228
1724938127280660727,5500,13500,1724938128311382234,264,261
1724938129189478277,3500,17500,1724938130054889719,301,331
1724938131204658805,9500,15500,1724938132025989376,191,300
1724938132491529967,7500,13500,1724938133848383931,229,261
1724938135595360490,13500,21500,1724938136508286083,120,411
1724938138921006014,1500,15500,1724938139587582633,320,296
1724938140469968515,3500,19500,1724938141265374783,302,367
1724938144124845334,1500,5500,1724938145120275682,320,111
