t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
0.77066707,0.532904191,0.232626743,0.004150686,1750336115413539389,14000,14000,1750336115646211669,37,142
0.89353692,0.701059502,0.185536306,0.002827704,1750336116355602024,10000,14000,1750336116541134071,81,142
1.200850145,0.93623323,0.262472258,0.001407593,1750336117481899796,6000,10000,1750336117744371703,124,98
7.867876337,1.406508222,6.458455357,0.002499596,1750336119153092452,14000,10000,1750336125611553271,36,99
2.461435345,2.333351286,0.125415908,0.001633497,1750336127950943089,2000,6000,1750336128076348109,168,53
28.346741389,1.637524976,26.707188792,0.001702459,1750336129716200148,2000,14000,1750336156423387735,192,162
8.269963647,1.630503526,6.634948476,0.00295785,1750336158059350653,10000,10000,1750336164694296722,80,98
2.004909558,1.863843284,0.134158402,0.001956234,1750336166566876409,2000,18000,1750336166701033348,167,183
1.881709306,1.406727146,0.472287659,0.002246118,1750336168110499792,10000,18000,1750336168582785747,80,185
4.065117878,3.381177857,0.681037208,0.002175916,1750336171968806281,6000,2000,1750336172649843692,124,9
4.447311564,4.214341833,0.229152503,0.002923906,1750336176867864218,10000,22000,1750336177097058314,81,227
3.54655376,3.264490564,0.277351258,0.00423774,1750336180365258681,10000,6000,1750336180642610235,79,55
1.06225167,0.704496062,0.354204413,0.003122089,1750336181352286692,6000,6000,1750336181706490142,123,54
1.153709188,0.937566902,0.21169877,0.002617095,1750336182650823937,2000,2000,1750336182862519521,168,10
1.600347161,1.406671173,0.190699434,0.002507597,1750336184272936275,10000,2000,1750336184463669949,80,10
8.478225087,4.331671746,4.142639189,0.003517546,1750336188798592060,2000,22000,1750336192941236489,166,225
2.351800944,2.340099969,0.005908774,0.003053201,1750336195290439320,14000,18000,1750336195296397112,39,186
3.529504064,3.258726148,0.263190683,0.003163958,1750336198563001193,14000,2000,1750336198826193209,35,9
7.593050391,3.524757324,4.06143751,0.006319398,1750336202355881432,6000,18000,1750336206417321682,125,183
6.104147221,0.826037786,5.273896231,0.003327549,1750336207254405341,6000,14000,1750336212528300239,122,140
2.099978852,1.896527903,0.194950524,0.006938982,1750336214430246885,14000,6000,1750336214625248001,35,54
2.507736329,2.341663036,0.160925732,0.003303049,1750336216976629187,2000,10000,1750336217137601788,167,97
2.909702048,2.574738795,0.324079341,0.010079923,1750336219718397188,6000,22000,1750336220042473196,124,225
1.621496799,1.400857633,0.198541642,0.019339246,1750336221460381048,14000,22000,1750336221658921061,36,228
