time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1718022007088171427,1000,6000,1718022007096027257,81,50
1718022008205859972,1000,9000,1718022009055567491,430,111
1718022010171914164,1000,12000,1718022010989767535,430,166
1718022012121583515,1000,15000,1718022012125662900,430,168
1718022013247672448,1000,18000,1718022014027884755,430,273
1718022016987020804,4000,6000,1718022017894176748,380,56
1718022019006782407,4000,9000,1718022019763961915,379,113
1718022020914870694,4000,12000,1718022021670995067,380,168
1718022022787220685,4000,15000,1718022023503245218,380,221
1718022024629862292,4000,18000,1718022025373122479,381,276
1718022028387564466,7000,6000,1718022029152359075,323,58
1718022030270083789,7000,9000,1718022031024476659,324,115
1718022032141729507,7000,12000,1718022032148936531,324,115
1718022033264206202,7000,15000,1718022034104873471,325,223
1718022035226011756,7000,18000,1718022035972631402,327,277
1718022038981652203,10000,6000,1718022039774231245,267,59
1718022040892735671,10000,9000,1718022042076809672,267,116
1718022043192740299,10000,12000,1718022043951466167,269,171
1718022045068582774,10000,15000,1718022045840208488,271,225
1718022046968668333,10000,18000,1718022047987736801,273,279
1718022050966154688,13000,6000,1718022051733189184,211,60
1718022052838038553,13000,9000,1718022052843104849,211,62
1718022053973319788,13000,12000,1718022054687743017,215,172
1718022055810405602,13000,15000,1718022056539953903,217,227
1718022057658978538,13000,18000,1718022058691180725,218,281
1718022061697743304,16000,6000,1718022062496433250,154,61
1718022063622896860,16000,9000,1718022064395398560,159,118
1718022065526772372,16000,12000,1718022065531081568,159,118
1718022066665894198,16000,15000,1718022067394698260,161,229
1718022068517412436,16000,18000,1718022069251862358,163,284
