t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1.515247829,1.508401742,0.003922333,0.001412739,1751291392249748258,4000,18000,1751291392253409779,131,164
1.35213809,1.222750049,0.119841623,0.002901699,1751291393486229627,2000,18000,1751291393606124323,150,164
1.946522184,1.939430601,0.004206828,0.001321315,1751291395550410132,4000,8000,1751291395554612738,133,81
1.177809698,1.161017125,0.004143274,0.012236082,1751291396717720926,6000,2000,1751291396721862274,116,27
3.767505739,3.758723218,0.004804357,0.003382969,1751291400494004965,12000,20000,1751291400498819525,64,182
3.232145853,3.225598336,0.003601633,0.00174579,1751291403730502163,10000,4000,1751291403734104074,81,45
2.661288365,2.511288343,0.146175041,0.002330633,1751291406249014550,14000,16000,1751291406395190701,47,149
1.45130037,1.442661254,0.004911855,0.002882236,1751291407841878008,6000,18000,1751291407846794085,114,165
3.282832019,3.274430528,0.004324623,0.002426706,1751291411126769590,2000,2000,1751291411131093120,152,26
0.85346775,0.732401625,0.118267369,0.002179061,1751291411868119994,2000,6000,1751291411986385881,152,59
2.878576611,2.867857802,0.004423862,0.005304479,1751291414858031795,8000,20000,1751291414862453120,99,180
3.196545232,3.186741522,0.004417381,0.003570874,1751291418056829477,8000,4000,1751291418061244413,98,46
1.194878627,1.186827225,0.004471028,0.002829181,1751291419252900679,10000,10000,1751291419257368022,81,94
0.7404924,0.515140315,0.211071846,0.013548934,1751291419777851908,8000,8000,1751291419988899274,99,79
1.210509773,1.190478728,0.004537935,0.01025163,1751291421198460542,4000,14000,1751291421203018865,133,127
0.756740815,0.744114996,0.004588416,0.006016172,1751291421960242876,8000,12000,1751291421964831421,102,114
1.165978953,1.157860551,0.004238124,0.003181213,1751291423131701175,10000,18000,1751291423135943318,82,163
2.891827652,2.882072033,0.004734265,0.003481357,1751291426023267497,6000,4000,1751291426028000707,116,44
1.19482515,1.17420402,0.004072442,0.015309409,1751291427207246507,4000,10000,1751291427211314689,133,93
1.99788878,1.807002123,0.186525053,0.003837259,1751291429037733051,12000,2000,1751291429224258566,62,24
1.583310959,1.573587155,0.004357048,0.004615285,1751291430803008610,4000,6000,1751291430807361991,131,61
1.062109545,1.053056842,0.003816593,0.004620434,1751291431868461199,10000,8000,1751291431872275626,83,79
2.63181598,2.622548966,0.00492167,0.003827371,1751291434501561828,2000,20000,1751291434506481127,151,178
0.650067855,0.464275402,0.181133983,0.003947887,1751291434977343175,4000,22000,1751291435158476158,133,198
2.737529812,2.671913757,0.060945955,0.004083941,1751291437835611080,14000,10000,1751291437896546128,45,97
2.398917693,2.390657182,0.004035627,0.003561264,1751291440293395703,2000,4000,1751291440297415904,150,42
2.139874612,2.12908649,0.004879374,0.005386218,1751291442431073939,14000,6000,1751291442435950220,47,62
2.189424363,2.091665604,0.092748127,0.004302086,1751291444536389513,4000,12000,1751291444629192065,133,113
1.303774901,1.207743008,0.090391808,0.004408529,1751291445842896468,6000,6000,1751291445933287499,115,60
0.908110102,0.719862943,0.16740344,0.018124906,1751291446662151776,2000,8000,1751291446829555253,151,78
1.107491508,0.918771874,0.182423632,0.004520323,1751291447768703704,2000,12000,1751291447951146909,151,113
2.461377485,2.452185266,0.004332104,0.004013776,1751291450409734861,14000,4000,1751291450414063539,47,43
1.516268824,1.505251797,0.004158496,0.005223462,1751291451925373805,14000,12000,1751291451929528652,46,113
1.332975391,1.201470026,0.125984981,0.004179866,1751291453138051521,14000,14000,1751291453264069984,46,132
1.608826307,1.599950564,0.004252513,0.004135329,1751291454870517917,6000,8000,1751291454874764115,113,79
2.895783437,2.88621376,0.004693488,0.004422807,1751291457765958971,2000,22000,1751291457770653421,151,195
3.665014323,3.653745431,0.004579952,0.00550018,1751291461431541601,4000,4000,1751291461436122572,134,45
1.946424078,1.796955361,0.142623001,0.004833468,1751291463241985008,12000,12000,1751291463384613731,64,114
2.202049046,2.190378232,0.004758413,0.006498796,1751291465580687086,4000,2000,1751291465585445443,134,26
2.534294855,2.520172355,0.004831894,0.006550165,1751291468116065925,10000,14000,1751291468120898948,81,130
2.045604728,2.03117725,0.004264716,0.009462179,1751291470159910864,12000,4000,1751291470164162950,62,45
3.428719553,3.412048924,0.004148514,0.011875422,1751291473588122221,4000,20000,1751291473592267661,133,179
1.651101856,1.636412975,0.004281827,0.009288681,1751291475242746230,6000,12000,1751291475247026131,115,116
2.017742392,2.007675018,0.0041817,0.00538457,1751291477266264946,8000,22000,1751291477270439071,99,197
1.3626039,1.205033964,0.151864518,0.005149037,1751291478482752450,12000,22000,1751291478634613930,65,200
2.57559964,2.392762736,0.175885079,0.006241854,1751291481038310249,8000,10000,1751291481214193476,99,97
2.449620048,2.433897238,0.004538805,0.006532924,1751291483659630992,6000,22000,1751291483664169908,117,196
1.845430304,1.815063537,0.004380067,0.021792779,1751291485490527301,12000,14000,1751291485494890331,64,134
1.619283486,1.605706255,0.004956892,0.006902197,1751291487124688443,10000,6000,1751291487129641076,81,64
3.232138918,3.216760047,0.004310253,0.010203631,1751291490356367942,10000,22000,1751291490360659010,83,198
3.281891279,3.260465513,0.004456547,0.013559749,1751291493637032424,8000,6000,1751291493641485564,98,64
2.169419053,2.154867688,0.004617378,0.008423101,1751291495812194931,2000,16000,1751291495816811494,151,145
3.133383921,3.118627393,0.00395198,0.010082559,1751291498945833626,10000,2000,1751291498949784310,80,26
2.528884123,2.513132646,0.004564934,0.008947057,1751291501476513946,6000,14000,1751291501481078806,116,129
0.934951416,0.697279021,0.224582546,0.011896791,1751291502189508537,2000,14000,1751291502414089268,151,130
1.187617613,0.960968245,0.21746737,0.008572729,1751291503389704339,2000,10000,1751291503607143988,151,96
2.442562479,2.427490826,0.004213829,0.008993833,1751291506047493536,14000,2000,1751291506051704513,46,24
3.940629722,3.912862251,0.004245735,0.022806412,1751291509975743547,14000,22000,1751291509979985690,48,198
0.877377486,0.723539478,0.141184876,0.007793887,1751291510733087020,10000,20000,1751291510874317580,82,182
2.006479889,1.993836366,0.004123311,0.007001826,1751291512879431007,12000,10000,1751291512883551244,63,99
2.046602553,2.034808908,0.004120607,0.006666664,1751291514927388707,14000,20000,1751291514931506185,47,181
0.83897467,0.823676538,0.004216532,0.009968709,1751291515762820113,12000,16000,1751291515767032775,65,151
1.004666749,0.98657862,0.004552138,0.008511044,1751291516770333155,6000,16000,1751291516774885515,115,148
1.150449967,1.136840958,0.00479145,0.008115753,1751291517921425945,6000,10000,1751291517926218117,116,99
1.739699601,1.725122885,0.004219809,0.009237034,1751291519662013811,12000,18000,1751291519666231158,64,164
0.849939106,0.731881878,0.10914393,0.008431675,1751291520408376888,8000,16000,1751291520517490985,99,148
0.977911913,0.764601556,0.203889733,0.008229511,1751291521292456318,10000,12000,1751291521496285423,81,115
1.260633402,1.125029167,0.124470394,0.009443809,1751291522631717792,4000,16000,1751291522756188223,133,147
1.024186507,0.784648323,0.230109967,0.008438694,1751291523553799953,8000,18000,1751291523783906346,99,165
0.985284511,0.972073479,0.004335549,0.008459934,1751291524765327839,14000,18000,1751291524769659888,49,166
1.455400952,1.443291589,0.003740224,0.007470486,1751291526224000560,6000,20000,1751291526227738339,114,182
3.072072254,3.057228709,0.004221809,0.009306311,1751291529295384546,12000,6000,1751291529299602874,63,64
2.048723086,2.033382067,0.004172533,0.010536978,1751291531343391624,10000,16000,1751291531347561101,82,147
1.719711042,1.701806929,0.004446436,0.012637115,1751291533063425495,14000,8000,1751291533067869543,45,82
1.532358348,1.368530372,0.148491808,0.013145422,1751291534456214055,8000,2000,1751291534604748382,98,24
1.268549551,1.249194625,0.004532213,0.013301105,1751291535869234899,12000,8000,1751291535873771778,63,78
1.262332123,1.246169373,0.004046627,0.009805489,1751291537139514296,8000,14000,1751291537143546682,99,129
