time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1718022256760780053,1000,6000,1718022257446218020,430,52
1718022258658391763,1000,7000,1718022258661962561,430,51
1718022259877566400,1000,8000,1718022259882526456,430,70
1718022261098939021,1000,9000,1718022261110963787,430,88
1718022262337378776,1000,10000,1718022262344211415,430,107
1718022263560018005,1000,11000,1718022263564027427,430,126
1718022264784587261,1000,12000,1718022264789281450,430,144
1718022266001020210,1000,13000,1718022266005211425,430,162
1718022267229898694,1000,14000,1718022267242619116,430,180
1718022268466947889,1000,15000,1718022268471809094,430,198
1718022269691142552,1000,16000,1718022269696308919,430,216
1718022270911978949,1000,17000,1718022270916184145,430,234
1718022272137268796,1000,18000,1718022272158817271,430,252
1718022275616648523,2000,6000,1718022276484147150,418,52
1718022277694350291,2000,7000,1718022277698652171,417,52
1718022278915078403,2000,8000,1718022278919286489,418,69
1718022280140074099,2000,9000,1718022280144161575,418,89
1718022281362619940,2000,10000,1718022281373702590,418,108
1718022282602101676,2000,11000,1718022282606092506,418,126
1718022283825833961,2000,12000,1718022283830966755,417,145
1718022285050885410,2000,13000,1718022285055350251,418,162
1718022286301738953,2000,14000,1718022286308593962,418,181
1718022287526148539,2000,15000,1718022287532571091,418,198
1718022288784606281,2000,16000,1718022288796699545,417,217
1718022290023439149,2000,17000,1718022290027614272,418,235
1718022291243557480,2000,18000,1718022291247894378,419,253
1718022294712550805,3000,6000,1718022295574515316,400,52
1718022296786887165,3000,7000,1718022296789721845,399,53
1718022298005757582,3000,8000,1718022298009848391,400,70
1718022299247626931,3000,9000,1718022299251680445,399,89
1718022300483597257,3000,10000,1718022300487853397,399,109
1718022301709321345,3000,11000,1718022301718262915,399,127
1718022302941368727,3000,12000,1718022302945906900,399,145
1718022304170038287,3000,13000,1718022304174735606,399,164
1718022305395203214,3000,14000,1718022305398978620,400,181
1718022306627871397,3000,15000,1718022306640075308,400,200
1718022307864216858,3000,16000,1718022307869308060,400,218
1718022309101411731,3000,17000,1718022309105510873,400,236
1718022310325853182,3000,18000,1718022310330370022,400,254
1718022313794969767,4000,6000,1718022314605668679,380,53
1718022315826535419,4000,7000,1718022315831293459,380,53
1718022317051407024,4000,8000,1718022317055709700,380,72
1718022318276675991,4000,9000,1718022318281277219,381,90
1718022319508668172,4000,10000,1718022319512939775,380,109
1718022320737386790,4000,11000,1718022320742488510,380,128
1718022321962090596,4000,12000,1718022321966494123,381,146
1718022323187395300,4000,13000,1718022323191851659,381,164
1718022324423806947,4000,14000,1718022324441739549,381,182
1718022325672926180,4000,15000,1718022325677165987,381,200
1718022326899076479,4000,16000,1718022326902306134,381,218
1718022328126589959,4000,17000,1718022328130575177,382,236
1718022329355416178,4000,18000,1718022329359821445,382,255
1718022332824412361,5000,6000,1718022333601672669,362,53
1718022334819311477,5000,7000,1718022334823344287,361,53
1718022336053169966,5000,8000,1718022336077836096,362,72
1718022337305770247,5000,9000,1718022337312708069,362,91
1718022338541946903,5000,10000,1718022338546233079,362,110
1718022339780058214,5000,11000,1718022339786718799,362,128
1718022341025646060,5000,12000,1718022341034336559,362,147
1718022342265040145,5000,13000,1718022342271970726,362,165
1718022343510193273,5000,14000,1718022343515911354,362,182
1718022344769047565,5000,15000,1718022344772138444,363,201
1718022346005098956,5000,16000,1718022346009135303,362,220
1718022347229289987,5000,17000,1718022347233972583,363,237
1718022348458596848,5000,18000,1718022348470845831,364,255
1718022351996963719,6000,6000,1718022352754235538,343,53
1718022353979620564,6000,7000,1718022353983511005,343,53
1718022355230708536,6000,8000,1718022355236928887,343,73
1718022356462022637,6000,9000,1718022356465734433,343,92
1718022357689963269,6000,10000,1718022357694248223,343,110
1718022358922868307,6000,11000,1718022358927127373,343,129
1718022360156770199,6000,12000,1718022360180698451,344,148
1718022361405175539,6000,13000,1718022361409350273,344,165
1718022362638057556,6000,14000,1718022362642311288,344,184
1718022363870754315,6000,15000,1718022363875131805,344,201
1718022365112104424,6000,16000,1718022365116536432,345,220
1718022366345438856,6000,17000,1718022367156997909,345,255
1718022368380191751,6000,18000,1718022368384405595,345,256
1718022371874412585,7000,6000,1718022372655984510,324,54
1718022373885718656,7000,7000,1718022373889981204,324,54
1718022375125853331,7000,8000,1718022375130154044,324,73
1718022376363505801,7000,9000,1718022376370329494,325,92
1718022377628688004,7000,10000,1718022377632872738,325,111
1718022378853063097,7000,11000,1718022378858860418,325,130
1718022380082847349,7000,12000,1718022380087189635,325,148
1718022381335381424,7000,13000,1718022381340458626,326,166
1718022382572091958,7000,14000,1718022382576359320,326,184
1718022383826116620,7000,15000,1718022383830156837,326,202
1718022385075697144,7000,16000,1718022385091943289,326,220
1718022386331534425,7000,17000,1718022386341742272,327,238
1718022387589468285,7000,18000,1718022387594900777,327,256
1718022391088567166,8000,6000,1718022391871428635,305,55
1718022393098410399,8000,7000,1718022393102712593,305,55
1718022394327936382,8000,8000,1718022394343527537,306,73
1718022395573111482,8000,9000,1718022395578458994,306,93
1718022396829667817,8000,10000,1718022396834905165,306,112
1718022398074778231,8000,11000,1718022398079750193,306,130
1718022399319929550,8000,12000,1718022399324447371,307,149
1718022400553023771,8000,13000,1718022400557210468,307,166
1718022401818539875,8000,14000,1718022401832697885,308,184
