time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1722347475863832333,2000,7000,1722347476631824955,418,72
1722347479066978455,2000,9000,1722347480212678144,418,110
1722347482629440211,2000,11000,1722347483487888679,417,147
1722347485906317201,2000,13000,1722347487025654641,417,183
1722347489444820685,2000,15000,1722347490382552274,417,219
1722347492795134771,2000,17000,1722347493747885900,418,255
1722347497833211113,4000,7000,1722347498578422332,380,73
1722347500992216987,4000,9000,1722347501843064941,380,112
1722347504255420781,4000,11000,1722347505246588964,380,148
1722347507662743197,4000,13000,1722347508591478903,380,184
1722347511013240815,4000,15000,1722347512398843974,380,220
1722347514810011933,4000,17000,1722347515774120878,381,255
1722347519859885796,6000,7000,1722347520634271693,342,74
1722347523042495162,6000,9000,1722347524081555851,342,112
1722347526495068038,6000,11000,1722347527541271874,343,149
1722347529952065851,6000,13000,1722347530911364929,343,185
1722347533335114706,6000,15000,1722347534231956072,344,221
1722347536669239644,6000,17000,1722347537654565403,345,257
1722347541751420262,8000,7000,1722347542534749874,305,76
1722347544945906940,8000,9000,1722347545957180354,306,113
1722347548374192984,8000,11000,1722347549428295855,306,150
1722347551851779455,8000,13000,1722347552798865684,307,186
1722347555218782418,8000,15000,1722347556104507146,308,222
1722347558519070364,8000,17000,1722347559501390638,308,258
1722347563586368479,10000,7000,1722347564368668765,268,77
1722347566780072529,10000,9000,1722347567751139551,269,114
1722347570167628728,10000,11000,1722347571183608295,269,152
1722347573603430805,10000,13000,1722347574555122326,270,188
1722347576974358414,10000,15000,1722347578033312254,271,224
1722347580460411730,10000,17000,1722347581484997214,272,259
1722347585608318158,12000,7000,1722347586387580195,230,78
1722347588827684973,12000,9000,1722347589786744899,232,116
1722347592201886709,12000,11000,1722347593201102688,233,153
1722347595622559575,12000,13000,1722347596607008256,234,189
1722347599029305968,12000,15000,1722347599977199692,235,225
1722347602400211678,12000,17000,1722347603384508250,236,261
1722347607467087776,14000,7000,1722347608276536919,193,78
1722347610713913279,14000,9000,1722347611566929391,194,117
1722347614003844410,14000,11000,1722347614866325184,196,153
1722347617287694523,14000,13000,1722347618243028642,197,190
1722347620668031918,14000,15000,1722347621465475628,198,226
1722347623890689720,14000,17000,1722347624829350308,200,262
1722347628927937703,16000,7000,1722347629673654912,155,79
1722347632102589002,16000,9000,1722347632965824216,157,117
1722347635387062298,16000,11000,1722347636305296339,158,154
1722347638733148320,16000,13000,1722347639532039263,160,191
1722347641959860405,16000,15000,1722347642863604557,161,227
1722347645285911727,16000,17000,1722347646263956867,163,264
1722347650368837253,18000,7000,1722347651141269685,116,79
1722347653567610699,18000,9000,1722347654545857415,119,118
1722347656970775203,18000,11000,1722347657798354137,121,155
1722347660235360154,18000,13000,1722347661071725117,122,192
1722347663490952002,18000,15000,1722347664402228207,124,228
1722347666842054752,18000,17000,1722347667750049492,126,265
