time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1724938363352194079,9500,1500,1724938365436742348,185,35
1724938368406137468,3500,15500,1724938369682143809,299,299
1724938371735769539,13500,21500,1724938373196529229,119,414
1724938374447410054,11500,15500,1724938375872051490,154,304
1724938378342405090,13500,19500,1724938379840669955,118,377
1724938381303764218,5500,21500,1724938382417297622,263,409
1724938386091697771,9500,3500,1724938387542332838,186,79
1724938387925278716,11500,3500,1724938389837026074,149,79
1724938391023160958,11500,9500,1724938392498243182,150,195
1724938393366517825,13500,13500,1724938394642770511,115,268
1724938395972725084,9500,7500,1724938397480963254,188,157
1724938399900790615,11500,19500,1724938401493610413,155,375
1724938405202747791,15500,1500,1724938407409789071,69,41
1724938409663885915,5500,11500,1724938410939725531,263,230
1724938411862631156,1500,7500,1724938413422882125,337,153
1724938416052819287,13500,17500,1724938417461538113,118,341
1724938419989482120,1500,9500,1724938421411321964,336,191
1724938422777692411,9500,9500,1724938424045592186,187,195
1724938425400698641,15500,15500,1724938426974320842,78,307
1724938430125876309,1500,1500,1724938431626615936,338,39
1724938432501316041,3500,5500,1724938433921728632,299,114
1724938434713010099,3500,1500,1724938435995464740,299,38
1724938438346073235,15500,7500,1724938440351990843,75,159
1724938441615068360,9500,11500,1724938443169271405,188,231
1724938444203109508,15500,11500,1724938445707806515,78,233
1724938447306648775,15500,3500,1724938448801608439,72,81
1724938451287069619,13500,15500,1724938452645652588,117,305
1724938455573135292,7500,1500,1724938459034980263,224,38
1724938459448666688,7500,3500,1724938461379838323,224,77
1724938463789550711,7500,15500,1724938465027967103,227,302
1724938467066984820,5500,5500,1724938468332515917,263,117
1724938469175470068,3500,9500,1724938470672163755,300,190
1724938471543147777,5500,13500,1724938472757279898,263,266
1724938473119780808,3500,13500,1724938474803475800,298,264
1724938476040761697,3500,7500,1724938477673389065,299,154
1724938479808173036,1500,17500,1724938481407352696,337,334
1724938483810163278,15500,17500,1724938485723270758,79,342
1724938488368506730,7500,5500,1724938489971739608,225,118
1724938491776515826,1500,13500,1724938493199055595,337,264
1724938494999703582,7500,21500,1724938496335825803,226,410
1724938497793437403,15500,19500,1724938499241804187,81,380
1724938502032092315,15500,5500,1724938503576162067,72,120
1724938505964208953,3500,11500,1724938507725203834,298,228
1724938508561121498,7500,13500,1724938509937358543,226,265
1724938511335589680,13500,7500,1724938512848963678,113,158
1724938513276982814,13500,9500,1724938515497058403,113,196
1724938517912857208,11500,21500,1724938519285856942,155,413
1724938520689056958,3500,21500,1724938522108351867,300,409
1724938523719676177,11500,17500,1724938525256159735,154,340
1724938528220664077,5500,3500,1724938529920675941,263,76
1724938531113669950,11500,1500,1724938532970122701,147,38
1724938536774820695,3500,19500,1724938537825097658,299,371
1724938538540254229,7500,19500,1724938540261009673,227,374
1724938541512788504,1500,15500,1724938542788541568,336,298
1724938544630742029,11500,13500,1724938546010321597,152,268
1724938548611052706,5500,1500,1724938550247091772,262,38
1724938553173077390,9500,15500,1724938554562951477,189,302
1724938555453009409,7500,11500,1724938557101708966,227,229
1724938557996406679,5500,15500,1724938559511828854,262,301
1724938562141511088,13500,3500,1724938563585344020,110,80
1724938565636474666,15500,13500,1724938566980005003,77,271
1724938567464937121,13500,11500,1724938569231140632,115,233
1724938570743275654,5500,9500,1724938571870365841,262,193
1724938574406931500,9500,21500,1724938575495747810,191,411
1724938578682384721,9500,5500,1724938580306964486,186,119
1724938581937846472,9500,13500,1724938583396360858,188,266
1724938585079887344,11500,5500,1724938586597588144,149,119
1724938588120748141,3500,3500,1724938589565708914,299,77
1724938593189366625,1500,21500,1724938594524048958,337,406
1724938596162836288,9500,17500,1724938597554320400,190,338
1724938600189636175,1500,5500,1724938601672562875,338,115
1724938604756699366,9500,19500,1724938606188380618,191,374
1724938608274052877,7500,9500,1724938609767794535,226,194
1724938611394710933,7500,17500,1724938613031355765,227,337
1724938615571420747,13500,5500,1724938616769539031,111,118
1724938617260360554,11500,7500,1724938618970484418,150,156
1724938621201079758,3500,17500,1724938622528871010,299,335
1724938624261329226,11500,11500,1724938625703911749,151,232
1724938627498919249,5500,19500,1724938628668014875,263,372
1724938629403167078,1500,19500,1724938631011208766,338,370
1724938633942379523,15500,9500,1724938636014622611,76,198
1724938638480781426,15500,21500,1724938640009485528,81,416
1724938644039260343,13500,1500,1724938648792449195,109,39
1724938652281708881,5500,17500,1724938653881421113,263,336
1724938655243242404,1500,11500,1724938656628019320,337,228
1724938657923774589,7500,7500,1724938659463041799,225,156
1724938660727741516,1500,3500,1724938662255286297,337,75
1724938663205172845,5500,7500,1724938664493389281,262,154
