,time_motor,motor_x,motor_y,time_cam,cam_x,cam_y,time_motor_norm,motor_x_norm,motor_y_norm,time_cam_norm,cam_x_norm,cam_y_norm,motor_x_linear,motor_y_linear,motor_x_poly,motor_y_poly,motor_x_stats,motor_y_stats,motor_x_linear_err,motor_y_linear_err,motor_x_poly_err,motor_y_poly_err,motor_x_stats_err,motor_y_stats_err
0,1722347475863832333,2000,7000,1722347476631824955,418,72,0.0,0.0,0.0,0.0,0.0,0.0,-0.009640194499835775,-0.004137621052618501,-0.00016666349210814335,2.3626427383738324e-05,-0.0018927325077383594,-0.027580967775513998,-0.009640194499835775,-0.004137621052618501,-0.00016666349210814335,2.3626427383738324e-05,-0.0018927325077383594,-0.027580967775513998
1,1722347479066978455,2000,9000,1722347480212678144,418,110,0.01677231090240437,0.0,0.2,0.01873632510805769,0.0,0.19689119170984457,-0.006503799718520812,0.20337605039921194,-0.0012429891566885136,0.19952019442822638,-0.0018927325077383594,0.17965412906126904,-0.006503799718520812,0.003376050399211933,-0.0012429891566885136,-0.00047980557177362826,-0.0018927325077383594,-0.02034587093873097
2,1722347482629440211,2000,11000,1722347483487888679,417,147,0.03542607001104281,0.0,0.4,0.03587341678486911,0.0033112582781457123,0.38860103626943004,-6.714958937174831e-05,0.40526596895180134,0.00083199495168527,0.39994435787621635,0.001491659045136017,0.3814356707181367,-6.714958937174831e-05,0.005265968951801314,0.00083199495168527,-5.564212378367239e-05,0.001491659045136017,-0.0185643292818633
3,1722347485906317201,2000,13000,1722347487025654641,417,183,0.052584450419520166,0.0,0.6,0.0543842938640725,0.0033112582781457123,0.5751295336787565,0.002904171782400322,0.6018578682219565,0.00013891704348801198,0.5990699458638677,0.001491659045136017,0.5777636571950892,0.002904171782400322,0.001857868221956549,0.00013891704348801198,-0.0009300541361322301,0.001491659045136017,-0.022236342804910825
4,1722347489444820685,2000,15000,1722347490382552274,417,219,0.07111275924541675,0.0,0.8,0.07194880212136909,0.0033112582781457123,0.7616580310880829,0.005875493154172391,0.7984497674921117,0.000608325597998711,0.8002138139632554,0.001491659045136017,0.7740916436720414,0.005875493154172391,-0.0015502325078883272,0.000608325597998711,0.0002138139632553715,0.001491659045136017,-0.025908356327958626
5,1722347492795134771,2000,17000,1722347493747885900,418,255,0.08865567091127947,0.0,1.0,0.08955745055954292,0.0,0.9481865284974094,0.005464022473338914,0.9952045335706703,-0.0004709368221164477,1.0015860229539033,-0.0018927325077383594,0.9704196301489938,0.005464022473338914,-0.004795466429329709,-0.0004709368221164477,0.00158602295390331,-0.0018927325077383594,-0.029580369851006205
6,1722347497833211113,4000,7000,1722347498578422332,380,73,0.11503604181528038,0.125,0.0,0.1148325725093328,0.1258278145695364,0.0051813471502590676,0.1189884402039458,-0.004865673681110173,0.12477492965449082,-0.0006520338173054194,0.12671414650148727,-0.022127412595598656,-0.0060115597960541944,-0.004865673681110173,-0.0002250703455091846,-0.0006520338173054194,0.001714146501487268,-0.022127412595598656
7,1722347500992216987,4000,9000,1722347501843064941,380,112,0.13157722558998974,0.125,0.2,0.13191436895710157,0.1258278145695364,0.20725388601036268,0.12220737169003221,0.2081088838615579,0.12488909563135159,0.20468208001980287,0.12671414650148727,0.1905612394210997,-0.002792628309967793,0.008108883861557892,-0.00011090436864841235,0.004682080019802859,0.001714146501487268,-0.009438760578900307
8,1722347504255420781,4000,11000,1722347505246588964,380,148,0.14866401042161645,0.125,0.4,0.14972284343014214,0.1258278145695364,0.39378238341968913,0.1251786930618043,0.4047007831317131,0.12465118638610156,0.4002274052089559,0.12671414650148727,0.3868892258980521,0.00017869306180429145,0.004700783131713071,-0.00034881361389843546,0.00022740520895586647,0.001714146501487268,-0.013110774101947942
9,1722347507662743197,4000,13000,1722347508591478903,380,184,0.16650542905480722,0.125,0.6,0.16722452306903204,0.1258278145695364,0.5803108808290155,0.12815001443357635,0.6012926824018682,0.12476778722917331,0.5995875482056804,0.12671414650148727,0.5832172123750043,0.003150014433576348,0.0012926824018681948,-0.00023221277082668967,-0.00041245179431959045,0.001714146501487268,-0.016782787624995632
10,1722347511013240815,4000,15000,1722347512398843974,380,220,0.18404930173076667,0.125,0.8,0.18714604065440968,0.1258278145695364,0.7668393782383419,0.13112133580534843,0.7978845816720233,0.1259044813226546,0.8008641612417566,0.12671414650148727,0.7795451988519567,0.006121335805348432,-0.0021154183279767924,0.00090448132265461,0.0008641612417565891,0.001714146501487268,-0.020454801148043322
11,1722347514810011933,4000,17000,1722347515774120878,381,255,0.20392995131430927,0.125,1.0,0.20480671593630334,0.12251655629139069,0.9481865284974094,0.1306273284197435,0.9891784616597444,0.12520442297075862,0.9967370141618629,0.1233297549486129,0.9704196301489938,0.005627328419743505,-0.010821538340255565,0.00020442297075862204,-0.0032629858381371113,-0.0016702450513871037,-0.029580369851006205
12,1722347519859885796,6000,7000,1722347520634271693,342,74,0.2303720963873781,0.25,0.0,0.2302367910993294,0.2516556291390728,0.010362694300518135,0.24761707490772739,-0.005593726309601844,0.25107078413285383,-0.0018307576638709126,0.2553210255107129,-0.016673857415683314,-0.002382925092272614,-0.005593726309601844,0.0010707841328538303,-0.0018307576638709126,0.005321025510712896,-0.016673857415683314
13,1722347523042495162,6000,9000,1722347524081555851,342,112,0.24703687274610583,0.25,0.2,0.24827423450040398,0.2516556291390728,0.20725388601036268,0.25075346968904233,0.2019199451422286,0.2523673843391932,0.1984103219386056,0.2553210255107129,0.1905612394210997,0.0007534696890423298,0.0019199451422285962,0.0023673843391932015,-0.0015896780613944006,0.005321025510712896,-0.009438760578900307
14,1722347526495068038,6000,11000,1722347527541271874,343,149,0.26511523179808805,0.25,0.4,0.26637672593669404,0.2483443708609272,0.39896373056994816,0.25042453571298046,0.4041355973116248,0.249720861963468,0.39963617929227807,0.2519366339578386,0.3923427810779674,0.0004245357129804561,0.004135597311624772,-0.00027913803653201175,-0.0003638207077219513,0.0019366339578386071,-0.007657218922032638
15,1722347529952065851,6000,13000,1722347530911364929,343,185,0.28321676070129176,0.25,0.6,0.28401027743689417,0.2483443708609272,0.5854922279792746,0.2533958570847525,0.6007274965817799,0.25063027057461995,0.599039874758716,0.2519366339578386,0.5886707675549198,0.003395857084752485,0.0007274965817799517,0.0006302705746199511,-0.0009601252412839711,0.0019366339578386071,-0.011329232445080217
16,1722347533335114706,6000,15000,1722347534231956072,344,221,0.30093107813575665,0.25,0.8,0.3013848169453288,0.2450331125827815,0.772020725388601,0.252984386403919,0.7974822626603385,0.2489881879937962,0.8004389336242098,0.24855224240496426,0.784998754031872,0.002984386403919015,-0.002517737339661541,-0.0010118120062037883,0.00043893362420976967,-0.0014477575950357369,-0.015001245968128019
17,1722347536669239644,6000,17000,1722347537654565403,345,257,0.3183892201991226,0.25,1.0,0.3192931526851127,0.24172185430463577,0.9585492227979274,0.25257291572308554,0.9942370287388971,0.24886570589510698,1.001765670630658,0.24516785085208986,0.9813267405088243,0.002572915723085545,-0.005762971261102923,-0.0011342941048930189,0.0017656706306579117,-0.004832149147910136,-0.01867325949117571
18,1722347541751420262,8000,7000,1722347542534749874,305,76,0.3450005298742638,0.375,0.0,0.34482805121623217,0.3741721854304636,0.02072538860103627,0.372945454263675,-0.0006980260388524747,0.37491884711898604,0.002261085568745836,0.38054351296706423,-0.005766747055852627,-0.0020545457363250197,-0.0006980260388524747,-8.115288101395723e-05,0.002261085568745836,0.005543512967064235,-0.005766747055852627
19,1722347544945906940,8000,9000,1722347545957180354,306,113,0.3617274982036233,0.375,0.2,0.3627354511425926,0.3708609271523179,0.21243523316062177,0.37261652028761294,0.20151762613054372,0.3738838533809553,0.1975617437371662,0.3771591214141899,0.19601479460101506,-0.00238347971238706,0.0015176261305437089,-0.001116146619044689,-0.00243825626283381,0.0021591214141898907,-0.003985205398984948
20,1722347548374192984,8000,11000,1722347549428295855,306,150,0.3796786865672811,0.375,0.4,0.3808975887901616,0.3708609271523179,0.40414507772020725,0.37567037836415645,0.40357041149153655,0.37554978017925705,0.3985715109355932,0.3771591214141899,0.39779633625788274,0.0006703783641564542,0.0035704114915365293,0.0005497801792570534,-0.001428489064406846,0.0021591214141898907,-0.002203663742117279
21,1722347551851779455,8000,13000,1722347552798865684,307,186,0.39788802178336813,0.375,0.6,0.39853363494518157,0.3675496688741722,0.5906735751295337,0.375258907683323,0.6003251775700951,0.3738093037083728,0.5980162652509625,0.3737747298613155,0.5941243227348351,0.0002589076833229842,0.00032517757009509207,-0.0011906962916272135,-0.001983734749037458,-0.0012252701386845088,-0.005875677265164914
22,1722347555218782418,8000,15000,1722347556104507146,308,222,0.41551831973227726,0.375,0.8,0.41582995229015585,0.36423841059602646,0.7772020725388601,0.3748474370024895,0.7970799436486536,0.3727721011241293,0.7991931910644082,0.3703903383084411,0.7904523092117874,-0.00015256299751048585,-0.0029200563513464006,-0.0022278988758707152,-0.0008068089355918184,-0.004609661691558908,-0.009547690788212604
23,1722347558519070364,8000,17000,1722347559501390638,308,258,0.43279928456793937,0.375,1.0,0.4336036810919445,0.36423841059602646,0.9637305699481865,0.3778187583742616,0.9936718429188088,0.37657014142383,0.9999989508536513,0.3703903383084411,0.9867802956887398,0.0028187583742615985,-0.006328157081191166,0.001570141423829996,-1.0491463486861363e-06,-0.004609661691558908,-0.013219704311260183
24,1722347563586368479,10000,7000,1722347564368668765,268,77,0.4593326664939818,0.5,0.0,0.4590710489413027,0.4966887417218543,0.025906735751295335,0.498191296914851,-0.0012632118589407455,0.49900880830369765,0.0015140605157274096,0.5057660004234155,-0.00031319187593728537,-0.0018087030851490216,-0.0012632118589407455,-0.0009911916963023515,0.0015140605157274096,0.005766000423415463,-0.00031319187593728537
25,1722347566780072529,10000,9000,1722347567751139551,269,114,0.4760555368272971,0.5,0.2,0.4767693652279589,0.4933774834437086,0.21761658031088082,0.49786236293878894,0.20095244031045545,0.49905224056931513,0.19666622638294043,0.5023816088705411,0.2014683497809304,-0.002137637061211062,0.000952440310455438,-0.0009477594306848691,-0.003333773617059582,0.002381608870541063,0.0014683497809303836
26,1722347570167628728,10000,11000,1722347571183608295,269,152,0.49379345561244437,0.5,0.4,0.4947292889993074,0.4933774834437086,0.41450777202072536,0.5009987577201039,0.4084661117622859,0.5017125020772827,0.40292111949421383,0.5023816088705411,0.4087034466177134,0.0009987577201039377,0.0084661117622859,0.0017125020772826849,0.0029211194942138086,0.002381608870541063,0.008703446617713384
27,1722347573603430805,10000,13000,1722347574555122326,270,188,0.5117839994214759,0.5,0.6,0.5123702755622989,0.49006622516556286,0.6010362694300518,0.5005872870392705,0.6052208778408444,0.5007382660766103,0.6020997680888543,0.4989972173176668,0.6050314330946658,0.0005872870392704677,0.005220877840844462,0.0007382660766103166,0.00209976808885437,-0.0010027826823332253,0.005031433094665805
28,1722347576974358414,10000,15000,1722347578033312254,271,224,0.529434847598313,0.5,0.8,0.5305694291826625,0.48675496688741726,0.7875647668393783,0.5001758163584371,0.801975643919403,0.5003439804775152,0.8028665882054816,0.4956128257647925,0.8013594195716182,0.00017581635843710863,0.0019756439194029696,0.00034398047751516003,0.0028665882054815794,-0.004387174235207514,0.0013594195716181146
29,1722347580460411730,10000,17000,1722347581484997214,272,259,0.5476885169007307,0.5,1.0,0.5486298991789802,0.48344370860927155,0.9689119170984456,0.4996818089728322,0.9932695239071239,0.5010653132759076,0.9977855485452634,0.4922284342119181,0.9922338508686551,-0.00031819102716779124,-0.0067304760928761365,0.0010653132759076422,-0.0022144514547366434,-0.007771565788081913,-0.007766149131344879
30,1722347585608318158,12000,7000,1722347586387580195,230,78,0.5746439800042968,0.625,0.0,0.57428199485367,0.6225165562913908,0.031088082901554404,0.6268199316186327,-0.001991264487432422,0.6262340412959928,0.001372744027689014,0.6343728794326412,0.00514036330397806,0.0018199316186326975,-0.001991264487432422,0.0012340412959928049,0.001372744027689014,0.009372879432641201,0.00514036330397806
31,1722347588827684973,12000,9000,1722347589786744899,232,116,0.5915012256850992,0.625,0.2,0.5920676597855977,0.6158940397350994,0.22797927461139897,0.6231907422947366,0.20584814058120485,0.624118709730863,0.20164441001845634,0.6276040963268925,0.21237546014076109,-0.0018092577052634118,0.005848140581204836,-0.0008812902691369695,0.0016444100184563326,0.0026040963268925132,0.012375460140761074
32,1722347592201886709,12000,11000,1722347593201102688,233,153,0.6091692178428496,0.625,0.4,0.6099328204591629,0.6125827814569537,0.41968911917098445,0.6228618083186745,0.40806379275060106,0.624215678213591,0.4022612231346568,0.6242197047740181,0.41415700179762877,-0.002138191681325452,0.00806379275060104,-0.0007843217864089702,0.0022612231346567646,-0.0007802952259818863,0.014157001797628743
33,1722347595622559575,12000,13000,1722347596607008256,234,189,0.6270805420905702,0.625,0.6,0.6277537560410578,0.609271523178808,0.6062176165803109,0.6224503376378411,0.6048185588291597,0.623972967290937,0.6009174334063372,0.6208353132211437,0.6104849882745812,-0.002549662362158922,0.004818558829159714,-0.0010270327090630138,0.0009174334063372092,-0.004164686778856286,0.01048498827458122
34,1722347599029305968,12000,15000,1722347599977199692,235,225,0.6449189445526358,0.625,0.8,0.6453878223063999,0.6059602649006622,0.7927461139896373,0.6220388669570076,0.8015733249077183,0.624172498960532,0.8010715225035194,0.6174509216682693,0.8068129747515335,-0.002961133042992392,0.001573324907718221,-0.0008275010394680482,0.0010715225035193843,-0.007549078331730685,0.006812974751533418
35,1722347602400211678,12000,17000,1722347603384508250,236,261,0.6625696780619483,0.625,1.0,0.6632160988417983,0.6026490066225165,0.9792746113989638,0.6216273962761741,0.9983280909862768,0.6254928920085421,1.000828704372597,0.6140665301153949,1.0031409612284858,-0.003372603723825862,-0.0016719090137231607,0.0004928920085420785,0.0008287043725969667,-0.010933469884605085,0.003140961228485839
36,1722347607467087776,14000,7000,1722347608276536919,193,78,0.6891008502229471,0.75,0.0,0.6888129705208407,0.7450331125827814,0.031088082901554404,0.7519832375650372,-0.008017336398358329,0.7492303601259023,-0.0026228585247596295,0.7595953668889923,0.00514036330397806,0.0019832375650371548,-0.008017336398358329,-0.0007696398740977273,-0.0026228585247596295,0.009595366888992318,0.00514036330397806
