time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1724938311420905311,1500,13500,1724938312515353817,338,259
1724938313842074287,5500,19500,1724938314607438500,266,369
1724938315490287203,3500,15500,1724938316427726371,302,297
1724938318359094607,13500,19500,1724938319192742871,119,373
1724938321482401110,1500,15500,1724938322218543537,339,295
1724938325007919896,1500,1500,1724938326077742987,338,36
1724938327803847708,11500,1500,1724938328761262491,150,36
1724938331633791147,9500,15500,1724938332408953615,191,300
1724938333284783628,11500,11500,1724938334193957437,153,228
