10,3,3
20,67,68
30,88,100
34,91,
35,95,
40,94,101
41,96
42,98
43,94
45,92,101
48,,103
49,,108
50,82,107
51,,100
52,,102
55,72,99
60,71,104
70,50,106
80,34,98
90,22,82
100,13,58
110,8,21

defect_thres_thres_49
5,84
6,86
10,105
12,108
20,108
22,105
24,105

overlaps
img,defect_points


