time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1718031003997637693,2000,7000,1718031005155218335,417,74
1718031006562992255,2000,9000,1718031006566478442,417,74
1718031007987076333,2000,11000,1718031007991508728,417,112
1718031009413382618,2000,13000,1718031009426318105,416,149
1718031010838000928,2000,15000,1718031010845512813,417,185
1718031012275566355,2000,17000,1718031012282630006,417,221
1718031015322945663,4000,7000,1718031016312675579,379,76
1718031017748419681,4000,9000,1718031017757197769,379,76
1718031019176965746,4000,11000,1718031019181668359,379,113
1718031020590024585,4000,13000,1718031020594724902,379,150
1718031022009458548,4000,15000,1718031022016726455,379,186
1718031023446909772,4000,17000,1718031023463346965,380,222
1718031026519135050,6000,7000,1718031027588824148,341,77
1718031029003281946,6000,9000,1718031029007087036,341,77
1718031030427984847,6000,11000,1718031030448714196,341,114
1718031031874087105,6000,13000,1718031031878360947,342,152
1718031033287038611,6000,15000,1718031033291509228,342,188
1718031034713301451,6000,17000,1718031034728324221,343,223
1718031037789399298,8000,7000,1718031038781413492,304,78
1718031040197479339,8000,9000,1718031040201157079,304,78
1718031041634503587,8000,11000,1718031041639142368,305,116
1718031043051447180,8000,13000,1718031043056873616,305,152
1718031044501476285,8000,15000,1718031044506407524,306,189
1718031045926545623,8000,17000,1718031045933816105,307,224
1718031048975361572,10000,7000,1718031049875151308,267,79
1718031051308891754,10000,9000,1718031051316018627,267,80
1718031052750196529,10000,11000,1718031052758406051,268,117
1718031054180232328,10000,13000,1718031054184766425,269,154
1718031055637459766,10000,15000,1718031055643589839,269,190
1718031057084147829,10000,17000,1718031057093681664,270,226
