t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
2.241706135,2.20345375,0.0294967,0.001801347,1750337825078520766,6000,2000,1750337825108064762,125,10
1.620374804,1.614182883,0.004049967,0.001419612,1750337826725448382,6000,10000,1750337826729494979,124,94
1.681295269,1.665769225,0.004255594,0.009492769,1750337828400391861,10000,2000,1750337828404645104,79,13
4.428341117,4.197872189,0.22177239,0.001901327,1750337832619362949,6000,22000,1750337832841157357,125,224
1.062546554,0.867621417,0.191912823,0.002420192,1750337833712558262,2000,18000,1750337833904519215,167,183
3.567167983,3.561115504,0.004022171,0.001622368,1750337837468775235,14000,2000,1750337837472795295,35,11
2.701231852,2.508226248,0.189862681,0.002275286,1750337839983893636,10000,14000,1750337840173797187,81,141
1.565484323,1.558698687,0.004106948,0.001933605,1750337841736527139,2000,10000,1750337841740631198,165,97
1.667036235,1.62645312,0.036925457,0.002197287,1750337843370867807,10000,6000,1750337843407786875,81,54
0.654551371,0.64777055,0.004277316,0.001985142,1750337844058683922,6000,6000,1750337844062958720,120,54
2.656068886,2.646969354,0.004348575,0.004306797,1750337846712778426,14000,18000,1750337846717117316,38,183
0.804563351,0.734552519,0.063808189,0.005415154,1750337847458252510,14000,22000,1750337847522186512,38,227
3.610013139,3.598970427,0.004413963,0.002337637,1750337851132237947,2000,6000,1750337851136650243,168,55
1.801455155,1.682868052,0.115155555,0.002424913,1750337852823859499,6000,14000,1750337852939012443,123,141
0.828729853,0.643668058,0.181550803,0.003159404,1750337853585997087,2000,14000,1750337853767544002,167,139
2.270921588,2.263705827,0.003898914,0.002785853,1750337856035316573,14000,10000,1750337856039212079,39,98
0.811813176,0.80293477,0.00476881,0.003587547,1750337856845872839,14000,14000,1750337856850641020,36,139
1.609682694,1.60023974,0.004169928,0.004578886,1750337858455616088,14000,6000,1750337858459782331,35,57
2.684228076,2.48890408,0.187492225,0.007318055,1750337860954284469,10000,18000,1750337861141774436,81,184
0.673492468,0.654200084,0.004235409,0.013348552,1750337861806063891,6000,18000,1750337861810303467,120,183
1.111935649,0.878546785,0.229225898,0.003766859,1750337862702969553,10000,22000,1750337862932246654,82,226
1.499947301,1.355251716,0.140854819,0.003333087,1750337864292065795,2000,22000,1750337864432991723,167,223
2.618660022,2.606828006,0.004511146,0.006230495,1750337867044510021,10000,10000,1750337867049023001,80,100
2.044719506,1.848635411,0.189566846,0.003924413,1750337868908040890,2000,2000,1750337869097657921,168,9
