t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1.97159595,0.979005063,0.981506397,0.009887782,1745414172280940522,5500,9500,1745414173262469141,261,187
3.159498893,2.246609039,0.90490576,0.00216394,1745414175553172406,13500,19500,1745414176458125295,116,369
2.042553024,1.145627557,0.883168308,0.005012362,1745414177615621525,7500,17500,1745414178498788314,225,330
1.81279553,0.858810927,0.951073683,0.001733249,1745414179371607746,9500,21500,1745414180322678891,189,403
4.344222488,3.430570315,0.910258192,0.002286493,1745414183757264670,1500,5500,1745414184667533695,331,150
3.211157682,2.149247503,1.047993373,0.001989075,1745414186832901258,13500,7500,1745414187880893761,111,149
3.781855806,2.860795517,0.917523181,0.002914625,1745414190748551813,11500,21500,1745414191666068310,154,404
1.839066743,0.804437912,1.030755806,0.002252255,1745414192493402620,15500,19500,1745414193524163927,79,371
3.503575753,2.605436988,0.886040775,0.0107831,1745414196134403860,9500,7500,1745414197020488375,186,149
3.752552192,2.532661326,1.196981238,0.021783084,1745414199566794815,5500,19500,1745414200763771980,262,366
3.097983717,2.097225921,0.992141712,0.002551635,1745414202896447674,9500,9500,1745414203888586978,186,186
1.966689558,0.935767892,1.017105497,0.013035857,1745414204829971499,5500,13500,1745414205847067421,261,258
2.225000494,1.269258982,0.952005666,0.002673392,1745414207135676389,11500,17500,1745414208087725221,152,333
3.9166463,2.924627205,0.98852265,0.002978162,1745414211019797932,15500,3500,1745414212008317768,69,71
1.722081702,0.40449181,1.311363982,0.004588916,1745414212419360646,15500,1500,1745414213730717905,69,39
2.862488975,2.756730587,0.088463992,0.007390639,1745414216503033896,1500,7500,1745414216591572015,233,148
3.354547589,2.4264151,0.914243742,0.00394123,1745414219038090199,3500,19500,1745414219952373792,297,365
3.046232654,2.814184427,0.225851018,0.005437303,1745414222789905423,3500,5500,1745414223015829828,298,191
3.174470921,2.213640886,0.939220486,0.004681823,1745414225256237145,11500,15500,1745414226195454317,151,296
3.750297345,2.852667955,0.885856158,0.003067625,1745414229076529349,9500,1500,1745414229962383915,185,37
3.479021456,2.534803841,0.937427772,0.00315279,1745414232504943018,13500,13500,1745414233442366217,114,261
3.352775677,2.542607393,0.782852818,0.025788153,1745414235991184469,1500,21500,1745414236774044028,317,400
1.925429644,1.027905369,0.893404992,0.003338914,1745414237831818685,7500,21500,1745414238725222381,225,402
4.372074293,3.198247246,1.168662604,0.004636475,1745414241929336588,7500,5500,1745414243097995729,220,112
2.226457979,1.25471016,0.96380839,0.006233712,1745414244366179991,9500,11500,1745414245329991640,186,223
2.559282964,1.665334527,0.877834494,0.004266688,1745414247032534185,7500,19500,1745414247910366550,226,366
2.664778474,1.717400301,0.939029329,0.004291947,1745414249637925353,3500,11500,1745414250576951626,298,221
2.205870378,2.125896469,0.061412211,0.017799459,1745414252710066819,7500,1500,1745414252771453161,221,118
2.074878569,0.821407818,1.232216341,0.014067739,1745414253620809201,11500,3500,1745414254853068244,147,72
2.338063002,1.323659481,1.0084438,0.004228764,1745414256203310094,7500,9500,1745414257211739598,224,185
149.350864354,1.78091705,147.561462298,0.003740161,1745414259020979679,1500,1500,1745414406582440014,338,29
2.473706836,1.241876378,1.215677192,0.015514965,1745414407829034550,3500,7500,1745414409044714927,297,146
4.066115792,2.830152223,1.208064311,0.014815852,1745414411920655321,5500,21500,1745414413128736835,262,402
4.816944038,3.789027009,1.021264985,0.005566919,1745414416937943377,13500,3500,1745414417959212048,108,70
2.016305719,0.820561868,1.172419364,0.014895518,1745414418799267483,9500,5500,1745414419971684181,186,110
2.345580877,1.600555709,0.701652879,0.03698148,1745414421596037183,9500,13500,1745414422297668989,190,194
