t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
2.685173195,2.30243203,0.372379947,0.009059754,1750335790835385755,6000,2000,1750335791207763239,124,9
12.769467159,2.45282694,10.296962103,0.012941352,1750335793677826475,6000,14000,1750335803974793338,124,141
0.897031422,0.690093533,0.196099158,0.002238323,1750335804687736761,2000,14000,1750335804883832790,167,140
63.853964829,1.634558952,62.212679797,0.005417449,1750335806522345950,2000,22000,1750335868735025765,166,224
2.042289312,1.830302947,0.207056874,0.003122589,1750335870574626962,10000,14000,1750335870781646318,80,142
2.446285687,1.722886612,0.712900155,0.004402147,1750335872514665391,6000,6000,1750335873227566787,124,54
2.134942585,1.830433844,0.291556501,0.011838402,1750335875066507781,14000,14000,1750335875358066004,36,142
1.722433037,1.617081031,0.096794802,0.007175722,1750335876991792691,6000,10000,1750335877088585381,124,98
2.253560245,1.719901974,0.523518346,0.008527223,1750335878819662637,2000,18000,1750335879342574268,166,183
3.557239325,3.542781587,0.007518458,0.004809789,1750335882902377616,14000,2000,1750335882909896629,34,16
1.1398493,0.703119423,0.431655628,0.004312018,1750335883623204384,10000,2000,1750335884054854270,79,9
2.36976565,1.756544749,0.60574798,0.003261902,1750335885821783458,14000,10000,1750335886427529364,36,98
2.034792489,1.650443472,0.380195015,0.002502652,1750335888083427043,14000,18000,1750335888463621188,37,185
4.112793202,3.661151134,0.447264773,0.002642707,1750335892129350559,2000,2000,1750335892576614943,168,9
7.837242512,3.420990163,4.412046033,0.00326531,1750335896003979172,6000,18000,1750335900416013817,123,183
6.130151011,2.580484956,3.54225904,0.003102645,1750335903003700457,2000,6000,1750335906546022237,168,52
3.710953561,3.534802923,0.169258857,0.002613041,1750335910089719562,10000,22000,1750335910259023957,81,226
3.469552222,3.415617756,0.049535042,0.003870913,1750335913678123667,14000,6000,1750335913727657246,34,54
3.651220111,3.290868718,0.344177788,0.003821414,1750335917036097625,14000,22000,1750335917380276413,37,227
6.730625695,3.408812472,3.313167113,0.00705452,1750335920796035517,10000,6000,1750335924109210945,80,54
5.300987412,0.824206325,4.468365641,0.005897812,1750335924945178803,10000,10000,1750335929413541332,80,98
1.523070051,1.416674268,0.091368071,0.012697465,1750335930839297296,2000,10000,1750335930930671960,167,97
8.789323899,2.602298942,6.182215983,0.003705414,1750335933550527636,6000,22000,1750335939732744823,123,226
1.186670859,0.951936839,0.222181609,0.011839679,1750335940689614357,10000,18000,1750335940911804355,80,184
