t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
0.880870003,0.675413379,0.202741244,0.002204681,1750426831768506681,8000,10000,1750426831971292793,102,96
1.732107292,1.628897395,0.101015252,0.001875862,1750426833602962159,6000,18000,1750426833703978726,125,183
2.019704316,2.013548585,0.0041723,0.001385013,1750426835720386056,8000,8000,1750426835724553948,102,78
0.678224454,0.423320191,0.252462722,0.001621614,1750426836150425417,10000,10000,1750426836402888213,80,97
1.4614865,1.237976623,0.220501489,0.002240403,1750426837649255970,6000,4000,1750426837869780495,124,29
1.675282114,1.668960054,0.004241039,0.001771997,1750426839541576704,10000,12000,1750426839545813576,80,116
0.772104184,0.624015983,0.145266508,0.002402952,1750426840172340654,6000,12000,1750426840317605959,124,118
0.83567367,0.628333084,0.200276409,0.005253366,1750426840950526883,2000,12000,1750426841150846271,168,117
1.679868588,1.672516497,0.004342128,0.002103835,1750426842830367799,10000,18000,1750426842834708020,85,183
0.762932604,0.754183238,0.004261484,0.004074011,1750426843592150766,6000,16000,1750426843596408306,120,161
2.935568593,2.754518538,0.177275809,0.00283786,1750426846356792945,6000,2000,1750426846534091882,124,7
1.300777995,1.105224037,0.192864036,0.002311401,1750426847642808122,12000,4000,1750426847835671158,57,29
1.675167813,1.667638817,0.00432578,0.002881138,1750426849506316236,2000,4000,1750426849510639590,165,29
2.922423489,2.731864669,0.186419253,0.003455281,1750426852246376059,14000,16000,1750426852432794904,37,163
2.069523353,1.910458365,0.155511414,0.0031085,1750426854347480408,4000,12000,1750426854502989284,146,118
1.736131867,1.728625957,0.004204881,0.002718924,1750426856235648536,10000,4000,1750426856239848565,79,32
0.847445821,0.840107793,0.004126255,0.002577078,1750426857083642742,12000,8000,1750426857087766404,58,71
1.214911667,1.207990621,0.004060702,0.002502971,1750426858300055828,10000,14000,1750426858304112160,81,138
0.82200743,0.814587514,0.004283397,0.002730665,1750426859123084511,12000,18000,1750426859127363187,60,180
2.669760364,2.411560325,0.254513339,0.003166055,1750426861543646446,14000,6000,1750426861798163100,35,52
1.749443524,1.740258863,0.004628366,0.004224216,1750426863542316247,8000,14000,1750426863546943687,103,137
1.026394966,1.014181687,0.004290436,0.003861064,1750426864570362256,2000,14000,1750426864574650933,164,139
1.224388689,1.215607751,0.004352064,0.00390847,1750426865795109171,4000,20000,1750426865799458994,145,202
1.596725016,1.566858894,0.024699332,0.00390849,1750426867371833329,12000,16000,1750426867396530736,60,162
2.027695019,2.018421115,0.004264846,0.004488653,1750426869419675974,10000,6000,1750426869423934728,80,57
2.644414415,2.63140064,0.004208406,0.008327796,1750426872061503287,2000,18000,1750426872065707063,168,180
1.460917756,1.452818043,0.004283384,0.003359348,1750426873527762810,10000,20000,1750426873532042213,83,205
1.632433197,1.446025617,0.181559754,0.004516061,1750426874982150092,2000,22000,1750426875163702458,168,223
3.314146806,3.302172354,0.004274812,0.007286508,1750426878471151120,6000,6000,1750426878475421044,124,56
0.948914919,0.753362594,0.190321161,0.004649427,1750426879237057126,2000,8000,1750426879427427432,169,74
0.791692166,0.783140521,0.004181336,0.003758204,1750426880216088902,4000,4000,1750426880220265960,146,33
0.907181109,0.716346848,0.186227756,0.004226408,1750426880941099854,8000,2000,1750426881127327481,102,7
3.70059318,3.691502202,0.004878921,0.003891718,1750426884823679659,12000,20000,1750426884828557006,59,203
3.580724669,3.570232296,0.004607082,0.005563284,1750426888403319459,12000,2000,1750426888407937836,58,10
1.632632274,1.621409724,0.00455701,0.004406793,1750426890037523559,12000,10000,1750426890042082051,59,94
1.621162142,1.537931856,0.077837474,0.004885349,1750426891585811684,4000,6000,1750426891663647047,148,52
2.559291669,2.360045161,0.193288625,0.00546644,1750426894030829525,4000,18000,1750426894224165371,146,182
0.745020594,0.593593761,0.1442362,0.006697374,1750426894825492411,4000,16000,1750426894969726704,146,160
0.866885606,0.678529444,0.180566552,0.006410719,1750426895656913725,8000,16000,1750426895837485944,102,161
0.882181901,0.744187032,0.132143629,0.004968496,1750426896590915309,12000,14000,1750426896723098640,59,140
2.034060144,1.909905377,0.118028258,0.005784522,1750426898638627839,2000,10000,1750426898756648950,168,96
2.499432107,2.357361891,0.135098331,0.006571901,1750426901120598795,14000,4000,1750426901255696441,34,29
