t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
3.749069474,2.160190843,1.581416676,0.006860611,1745835109799095268,1500,9500,1745835111380515611,143,83
3.23796044,2.861220433,0.373852176,0.001378963,1745835114251025770,15500,17500,1745835114624874094,143,105
2.720778017,2.201015112,0.517612657,0.001672421,1745835116828285693,5500,9500,1745835117345953885,140,81
1.006690534,0.473488218,0.529954897,0.002471911,1745835117822325008,3500,7500,1745835118352280851,165,56
2.270563666,1.736693801,0.526276153,0.00454492,1745835120095646487,11500,13500,1745835120621970658,68,130
1.953371727,1.396954628,0.553166032,0.002234432,1745835122024748448,5500,19500,1745835122577912350,141,199
1.685306638,1.165378803,0.517156428,0.001892845,1745835123749416052,11500,21500,1745835124266615942,70,224
2.556742132,2.202700291,0.350367242,0.002202211,1745835126473172737,1500,13500,1745835126823581293,172,129
2.715132427,2.209202102,0.495719241,0.007239402,1745835129036817489,13500,15500,1745835129532535952,44,155
