time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1722348574199073405,10000,15000,1722348574984979746,272,218
1722348576776856694,4000,7000,1722348577519917632,381,68
1722348579369734430,14000,9000,1722348580212102288,195,111
1722348580683629468,12000,11000,1722348581635264379,234,146
1722348582914590213,14000,17000,1722348583730540840,200,256
1722348585821894785,12000,7000,1722348586557058704,232,72
1722348588521212030,2000,11000,1722348589295052750,418,141
1722348589999990448,6000,11000,1722348590962757125,343,144
1722348591785919396,6000,7000,1722348592510674834,343,69
1722348594649099435,2000,17000,1722348595479367228,419,249
1722348595903308119,2000,15000,1722348596998553798,419,214
1722348599555856582,16000,13000,1722348600347035183,161,185
1722348601496738131,10000,11000,1722348602295970580,271,146
1722348603553582748,12000,17000,1722348604664928968,236,255
1722348605487825282,8000,15000,1722348606421861130,309,217
1722348606776886492,6000,15000,1722348608357129207,345,216
1722348610549988300,16000,7000,1722348611375751937,155,73
1722348612637226761,18000,13000,1722348613384116899,123,186
1722348614083605437,14000,13000,1722348614871992386,199,184
1722348616843675866,4000,17000,1722348617631736094,382,251
1722348618563649752,8000,13000,1722348619365742262,307,181
1722348620178048841,8000,9000,1722348621042754923,306,108
1722348622377161691,12000,15000,1722348623135304729,236,219
1722348624929864825,18000,7000,1722348626027081132,117,73
1722348626966258297,14000,11000,1722348627873614236,197,148
1722348628328544438,16000,9000,1722348629491947561,157,111
1722348629962559922,14000,7000,1722348631172100192,194,72
1722348633112499089,4000,11000,1722348633916041627,381,143
1722348634791697288,2000,7000,1722348635540064240,419,67
1722348638572566928,18000,11000,1722348639296473721,121,149
1722348641500032848,6000,13000,1722348642304758613,344,180
1722348643126846074,6000,17000,1722348643983052753,346,252
1722348645739733883,10000,9000,1722348646482279193,269,109
1722348647885427275,18000,9000,1722348648679660900,119,112
1722348650019343570,14000,15000,1722348650763284936,200,220
1722348652477177958,10000,7000,1722348653208613618,269,71
1722348655462582662,18000,17000,1722348656252787079,126,260
1722348656733178365,16000,15000,1722348657523059775,163,222
1722348657883852282,18000,15000,1722348659010776203,124,223
1722348660524931118,10000,13000,1722348661257077827,272,183
1722348662323107945,4000,13000,1722348663039916471,381,179
1722348663862938428,8000,11000,1722348664773159249,306,145
1722348665599634542,4000,9000,1722348666340658460,381,106
1722348667582364513,4000,15000,1722348668353466526,381,215
1722348668823811496,2000,13000,1722348669848577870,419,178
1722348672427351078,16000,11000,1722348673152419455,159,149
1722348675720696502,2000,9000,1722348676474376863,418,105
1722348678288504415,8000,17000,1722348679068102480,309,253
1722348680758236583,6000,9000,1722348681491483006,344,107
1722348683715384557,16000,17000,1722348684460810571,164,258
1722348686741907820,8000,7000,1722348687486670940,306,70
1722348689588190929,10000,17000,1722348690423044448,272,254
1722348691284419414,12000,13000,1722348692108822459,234,183
1722348692934801399,12000,9000,1722348693679056908,232,110
