time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1718024442075653614,2000,7000,1718024442088182884,130,50
1718024443500799971,2000,9000,1718024443793486562,417,73
1718024445189038004,2000,11000,1718024445202237523,417,111
1718024446613808496,2000,13000,1718024446786123957,417,148
1718024448194264724,2000,15000,1718024448354317521,417,184
1718024449779280992,2000,17000,1718024449796578170,417,220
1718024452794356505,4000,7000,1718024454461733822,379,75
1718024455877688413,4000,9000,1718024455885548903,379,75
1718024457299872557,4000,11000,1718024457541784373,379,113
1718024458956431595,4000,13000,1718024458970913039,379,150
1718024460377302481,4000,15000,1718024460497530910,380,186
1718024461925287912,4000,17000,1718024461950523469,380,221
1718024464979137793,6000,7000,1718024466518721612,342,77
1718024467944842622,6000,9000,1718024467951268301,342,77
1718024469356367337,6000,11000,1718024469381798668,342,114
1718024470795568867,6000,13000,1718024471446244859,342,151
1718024472857415654,6000,15000,1718024472868645982,343,187
1718024474297225101,6000,17000,1718024474305189534,344,223
1718024477311534498,8000,7000,1718024478917948623,304,77
1718024480355167722,8000,9000,1718024480363400225,305,77
1718024481827652500,8000,11000,1718024481835165106,305,115
1718024483308279856,8000,13000,1718024483382885561,306,152
1718024484797255695,8000,15000,1718024485031573110,306,188
1718024486445403031,8000,17000,1718024486470604069,307,224
1718024489493177543,10000,7000,1718024491218506340,267,79
1718024492634646892,10000,9000,1718024492648697380,267,79
1718024494080669059,10000,11000,1718024494360438238,268,116
1718024495773791222,10000,13000,1718024495785228694,269,153
1718024497414446969,10000,15000,1718024497545563601,270,189
1718024498976633757,10000,17000,1718024498989679742,271,225
1718024502042503751,12000,7000,1718024503596628237,230,80
1718024505003546524,12000,9000,1718024505012016671,230,80
1718024506430196711,12000,11000,1718024506438246810,231,117
1718024507874615107,12000,13000,1718024508051424184,232,154
1718024509474631795,12000,15000,1718024509507907486,233,190
1718024510934577618,12000,17000,1718024511144619925,234,226
1718024514125766611,14000,7000,1718024515839087334,193,80
1718024517266105090,14000,9000,1718024517271136216,193,80
1718024518720743310,14000,11000,1718024519050426628,194,117
1718024520501298092,14000,13000,1718024520512440680,196,155
1718024521940976024,14000,15000,1718024522214976402,197,191
1718024523625288063,14000,17000,1718024523640616031,198,228
1718024526672881117,16000,7000,1718024528434338804,154,80
1718024529855034195,16000,9000,1718024529873670241,154,80
1718024531316402775,16000,11000,1718024531670575809,156,118
1718024533097012537,16000,13000,1718024533111511907,158,156
1718024534559209030,16000,15000,1718024534650202501,160,192
1718024536075796206,16000,17000,1718024536155089782,161,229
1718024539187648216,18000,7000,1718024540780665753,116,80
1718024542205558246,18000,9000,1718024542214123133,116,81
1718024543694158371,18000,11000,1718024543934163716,118,119
1718024545347345353,18000,13000,1718024545358548199,120,156
1718024546806525355,18000,15000,1718024546809874082,122,193
1718024548241235994,18000,17000,1718024548366270238,123,230
