time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1722347740113796667,2000,7000,1722347740879043939,417,73
1722347741293132062,2000,9000,1722347742302823763,417,111
1722347742710516795,2000,11000,1722347743814131263,417,148
1722347744225276137,2000,13000,1722347745452424608,417,184
1722347745877402608,2000,15000,1722347747352745756,417,220
1722347747763075800,2000,17000,1722347749070446556,417,256
1722347751114752968,4000,7000,1722347751980909079,380,74
1722347752401269820,4000,9000,1722347753285875364,380,112
1722347753707670930,4000,11000,1722347754689000832,380,149
1722347755117982326,4000,13000,1722347756202618168,380,185
1722347756637502470,4000,15000,1722347757593095346,380,221
1722347758003638486,4000,17000,1722347759110745881,381,256
1722347761184325131,6000,7000,1722347762031041133,342,75
1722347762443199812,6000,9000,1722347763439680689,342,113
1722347763848558427,6000,11000,1722347765064433614,343,149
1722347765478166985,6000,13000,1722347766426296190,343,186
1722347766841663435,6000,15000,1722347767914591806,344,221
1722347768325170702,6000,17000,1722347769539294524,345,257
1722347771609967268,8000,7000,1722347772364229426,305,76
1722347772780334456,8000,9000,1722347773724849897,306,114
1722347774162333570,8000,11000,1722347775352964484,306,151
1722347775770177716,8000,13000,1722347776698543659,307,187
1722347777114192714,8000,15000,1722347778166030707,308,223
1722347778585765644,8000,17000,1722347779549661282,309,258
1722347781623379849,10000,7000,1722347782739176999,268,77
1722347783159281903,10000,9000,1722347784486226726,269,115
1722347784903707778,10000,11000,1722347785897953310,269,152
1722347786309452975,10000,13000,1722347787670244614,270,188
1722347788089979217,10000,15000,1722347789280008771,271,224
1722347789715690248,10000,17000,1722347791070821053,272,259
1722347793129679256,12000,7000,1722347794461482437,230,78
1722347794885353305,12000,9000,1722347796516348086,232,116
1722347796937803460,12000,11000,1722347798139435400,233,153
1722347798567399397,12000,13000,1722347800155297972,234,189
1722347800575497953,12000,15000,1722347802350515137,235,225
1722347802761747240,12000,17000,1722347804306761943,236,261
1722347806350638142,14000,7000,1722347807553233640,193,79
1722347807964157363,14000,9000,1722347809539142072,194,117
1722347809981599647,14000,11000,1722347811559898888,196,154
1722347811970169401,14000,13000,1722347813447838769,197,190
1722347813877220255,14000,15000,1722347815540183007,198,226
1722347815970055021,14000,17000,1722347817628348008,200,262
1722347819651776524,16000,7000,1722347820794808720,155,79
1722347821212933614,16000,9000,1722347822858364402,157,117
1722347823268662297,16000,11000,1722347825032608354,158,154
1722347825464171503,16000,13000,1722347827010137697,160,191
1722347827430255522,16000,15000,1722347828948605301,162,227
1722347829356658783,16000,17000,1722347830928844669,163,263
1722347833004836251,18000,7000,1722347834322690403,116,80
1722347834780755815,18000,9000,1722347836406482465,119,118
1722347836853914199,18000,11000,1722347838398144881,121,155
1722347838823564671,18000,13000,1722347840454340140,123,192
1722347840871210389,18000,15000,1722347842256027939,124,228
1722347842706652183,18000,17000,1722347844376197977,126,265
