time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1718032158830720348,2000,7000,1718032160155899227,418,69
1718032162578396193,2000,9000,1718032162583114583,418,69
1718032164998520569,2000,11000,1718032165003233422,418,107
1718032167440024947,2000,13000,1718032167444420453,418,144
1718032169857281965,2000,15000,1718032169861285551,418,180
1718032172273028842,2000,17000,1718032172278793789,418,216
1718032176348130485,4000,7000,1718032177726094512,380,71
1718032180149570332,4000,9000,1718032180155122912,380,71
1718032182578325849,4000,11000,1718032182586203004,380,109
1718032184999116641,4000,13000,1718032185006105310,380,146
1718032187419513867,4000,15000,1718032187424945116,381,182
1718032189852390364,4000,17000,1718032189856870349,381,217
1718032193911466821,6000,7000,1718032195239440045,343,72
1718032197659765115,6000,9000,1718032197681957972,343,72
1718032200104197200,6000,11000,1718032200109926518,343,110
1718032202539576706,6000,13000,1718032202554313587,344,146
1718032204972940116,6000,15000,1718032204989315380,344,183
1718032207403591182,6000,17000,1718032207407864801,345,218
1718032211466641215,8000,7000,1718032212883389563,306,73
1718032215312688564,8000,9000,1718032215323508877,306,73
1718032217749826057,8000,11000,1718032217753716329,306,111
1718032220178096004,8000,13000,1718032220182047869,307,148
1718032222594693118,8000,15000,1718032222598883274,308,184
1718032225022870552,8000,17000,1718032225028295097,308,220
