time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1718021541478473277,2000,6000,1718021542265493893,419,51
1718021543300736742,4428,7714,1718021544127562425,373,85
1718021545153945775,6857,9428,1718021545156393853,373,85
1718021546189326352,9285,11142,1718021546193940289,328,119
1718021547224628759,11714,12857,1718021547230789101,284,152
1718021548261400160,14142,14571,1718021549208440126,196,216
1718021550243811595,16571,16285,1718021550247572415,196,216
1718021551283621852,19000,18000,1718021552091473844,108,282
