time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1717441174172405831,19000,6000,1717441177110091264,96,64
1717441180022152077,19000,18000,1717441182979752489,107,284
1717441186380476425,2000,18000,1717441191167730604,419,274
1717441194085254343,2000,6000,1717441196796078432,419,64
1717441198997917582,9700,12000,1717441202418190400,276,170
1717441203629728947,7910,8740,1717441206658001532,309,109
1717441207500284749,12194,7226,1717441211132258949,227,82
1717441212874559974,8951,15384,1717441215750087029,291,230
1717441216405283244,10043,12322,1717441220088141485,270,175
1717441221230213403,15630,14977,1717441224720787896,169,227
1717441224929174678,15556,14019,1717441224941067655,168,227
1717441226427324899,8248,17743,1717441229659208728,304,273
1717441230813709590,13522,13557,1717441234387630286,205,199
1717441236195687022,3278,12992,1717441239216750546,393,185
1717441241386947232,15104,11137,1717441244981325274,175,156
1717441247139707491,2973,12056,1717441249989136038,399,168
1717441251190697354,6214,17523,1717441254001697483,340,267
1717441254521244337,3319,17454,1717441254524734583,341,268
1717441255559626295,8769,16243,1717441258437544803,294,246
1717441260127730170,2644,8744,1717441263479014259,406,107
1717441265236371171,10620,14817,1717441268625231486,261,222
1717441270105468402,18608,13667,1717441273379840597,111,204
1717441275308077479,9148,8743,1717441278345701111,284,110
1717441279828499778,16758,6208,1717441282766431320,140,64
1717441285747055075,3091,16478,1717441289552969628,399,247
1717441290973964638,2490,9561,1717441294076590506,409,120
1717441297178947484,17987,16430,1717441300586732401,125,254
1717441302463862339,8446,12592,1717441305435758146,299,180
1717441306255706870,12371,14625,1717441309492669438,227,219
1717441310692415086,11479,8883,1717441313585266500,242,113
1717441315327543926,14575,16953,1717441318475271727,188,261
1717441320514171124,3256,16109,1717441324061687068,394,241
1717441325615803052,11824,16867,1717441328511664878,240,258
1717441329744646867,6444,12296,1717441329748724382,240,258
1717441332251045886,18881,16853,1717441332255132105,240,258
1717441333475699863,12979,14095,1717441333479789674,240,258
1717441333893465494,13730,12258,1717441333897556972,240,258
1717441335077136636,11941,6826,1717441335081283224,240,258
1717441335810296822,14856,9853,1717441335814417151,240,258










































































































