t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
2.190386365,1.76810292,0.410937915,0.010273007,1751293430868734504,8000,4000,1751293431279669161,97,45
3.920843925,3.498781922,0.400003861,0.003507174,1751293434808477800,12000,22000,1751293435208515402,64,202
1.818488057,1.443381483,0.370119808,0.003963113,1751293436657746045,4000,20000,1751293437027844483,132,183
3.159271777,2.49804367,0.655983421,0.001772735,1751293439534445962,12000,8000,1751293440190500529,62,81
1.863680988,1.561210585,0.299539239,0.002390615,1751293441754474817,12000,16000,1751293442054088833,63,151
0.702633298,0.366083622,0.327960071,0.006490522,1751293442426230612,12000,14000,1751293442754187795,63,133
2.235085811,1.982603482,0.245197782,0.006793906,1751293444744322322,12000,4000,1751293444989517492,61,45
2.25939579,2.036246058,0.220019627,0.002512817,1751293447033934697,10000,14000,1751293447254025434,80,133
1.964439154,1.676470348,0.2847972,0.002460541,1751293448935230459,14000,22000,1751293449220025363,46,202
1.631971311,1.463069203,0.166253014,0.002147137,1751293450687793280,6000,20000,1751293450854042237,115,183
3.997121399,3.682068115,0.310556068,0.00277024,1751293454541543574,8000,2000,1751293454852189418,97,26
1.199399415,1.012928476,0.182796674,0.003144383,1751293455868873657,14000,2000,1751293456051662295,42,26
3.363701277,3.199159055,0.161276933,0.002783036,1751293459256060908,14000,18000,1751293459417404580,46,168
0.509151913,0.328857835,0.172054044,0.006598224,1751293459752329646,12000,18000,1751293459924379986,64,168
1.85489287,1.6097912,0.239410618,0.004011075,1751293461545442791,10000,10000,1751293461784857983,80,99
2.264196726,2.016051173,0.243847446,0.003640968,1751293463806438302,8000,20000,1751293464050364006,98,183
3.897727519,3.666654805,0.227152713,0.003361176,1751293467722085780,10000,2000,1751293467949236640,79,26
1.867988017,1.672280576,0.191903289,0.003050088,1751293469626451186,2000,8000,1751293469818338530,150,80
1.931155647,1.572654333,0.353631511,0.003520655,1751293471395864445,2000,16000,1751293471749493030,149,149
0.694749878,0.415815656,0.272981711,0.005410315,1751293472169965825,4000,18000,1751293472442944074,132,166
0.786231232,0.501958824,0.277179709,0.004055408,1751293472956700625,4000,16000,1751293473233950278,132,149
1.196233838,0.979171728,0.211659054,0.003667691,1751293474226915020,6000,12000,1751293474438526556,114,116
1.477935577,1.150888256,0.323283779,0.003130235,1751293475594187525,8000,18000,1751293475917467897,98,167
1.82930869,1.555128959,0.269947975,0.003632247,1751293477478150927,8000,10000,1751293477748097162,97,99
1.532291105,1.23010487,0.295354329,0.003920557,1751293478985906759,6000,4000,1751293479281387068,115,45
3.596753207,3.298439233,0.293648463,0.003946724,1751293482585794849,10000,20000,1751293482879440516,80,184
4.032496395,3.670100729,0.357307384,0.004676881,1751293486554506733,12000,2000,1751293486911889616,60,26
0.61829148,0.418277693,0.193639486,0.004830656,1751293487336816977,10000,4000,1751293487530453482,79,45
3.178161487,2.91868687,0.253626883,0.004266923,1751293490457799695,6000,18000,1751293490711503207,115,166
1.101538613,0.752873648,0.344485541,0.003760633,1751293491469516414,6000,14000,1751293491814000232,115,132
1.564480025,1.37885478,0.179602883,0.004840674,1751293493198136866,12000,20000,1751293493377736878,63,185
4.068244054,3.782666203,0.278042935,0.006580317,1751293497166864159,6000,2000,1751293497444912983,115,26
4.365145204,4.141944737,0.216215638,0.005759772,1751293501595082718,2000,22000,1751293501811295281,150,199
2.430613956,2.166423645,0.256422843,0.005349871,1751293503986357326,8000,12000,1751293504242848261,97,116
1.663231584,1.377951675,0.279605043,0.004632603,1751293505629129729,2000,18000,1751293505908748993,149,165
2.964991211,2.632796837,0.325899405,0.004892266,1751293508549156115,10000,6000,1751293508875053835,79,63
3.467792253,3.301844259,0.157937401,0.005427499,1751293512186232743,6000,22000,1751293512344166533,115,200
2.459421383,2.057530191,0.384892389,0.014164509,1751293514410988225,2000,12000,1751293514795871818,149,115
2.409147757,2.224489336,0.175122646,0.008853044,1751293517035937180,14000,8000,1751293517211206972,44,82
2.466173137,2.241715819,0.214517455,0.006050695,1751293519465255973,2000,4000,1751293519679846297,151,44
3.465628787,3.178485906,0.279487616,0.00703244,1751293522873159258,2000,20000,1751293523152636930,149,182
2.851792657,2.442428217,0.397614694,0.005811772,1751293525608813903,4000,8000,1751293526006451986,132,81
1.499354436,1.201933105,0.289214538,0.005397296,1751293527217820794,2000,2000,1751293527507032424,151,26
1.424983663,1.213980568,0.199503754,0.009439629,1751293528729238971,8000,6000,1751293528928740799,97,63
2.458972058,1.995690158,0.448349013,0.012125,1751293530937763367,10000,16000,1751293531386059584,80,150
1.775757333,1.382062845,0.377299232,0.008848711,1751293532789183732,4000,10000,1751293533166611758,132,98
1.553522187,0.806139643,0.720819502,0.019126348,1751293533989965460,2000,6000,1751293534710782555,150,63
1.717308987,1.335444078,0.362521842,0.01426647,1751293536073525664,10000,8000,1751293536436040377,79,81
1.879883451,1.515358322,0.344771327,0.014296247,1751293537970326142,2000,14000,1751293538315089006,149,132
0.984507722,0.715229227,0.250437218,0.01173545,1751293539054824914,6000,16000,1751293539305258743,114,149
2.359146238,2.057765,0.291615577,0.008875508,1751293541377127456,4000,6000,1751293541668874420,132,63
1.995346321,1.696744099,0.291674446,0.006039639,1751293543375979932,14000,6000,1751293543667651582,43,64
2.000451305,1.798022537,0.194080771,0.007587544,1751293545473389068,4000,4000,1751293545667543228,133,44
1.832782908,1.571258584,0.2463537,0.009662681,1751293547254766184,4000,12000,1751293547501206679,132,115
0.729305456,0.504715716,0.217369062,0.006114416,1751293548017050760,2000,10000,1751293548234406859,150,98
1.934523228,1.634683468,0.293102685,0.006080435,1751293549876443263,4000,2000,1751293550169608263,132,26
1.531342279,1.206854453,0.316092961,0.007719542,1751293551383663745,6000,8000,1751293551699826668,114,81
2.0325778,1.641191728,0.383841602,0.006995144,1751293553349815090,8000,16000,1751293553733654211,98,150
0.652046056,0.368183336,0.267763886,0.015270086,1751293554111116771,8000,14000,1751293554378878768,98,133
1.413012222,1.214773638,0.19118194,0.00639019,1751293555610249232,14000,10000,1751293555801414840,44,99
2.731474966,2.516582519,0.206162771,0.008117499,1751293558325684290,10000,22000,1751293558531921060,81,201
3.200671814,2.884872739,0.305605327,0.00944174,1751293561426233891,8000,8000,1751293561731836533,97,81
3.73355132,0.494571001,3.22756305,0.009888364,1751293562238496812,6000,10000,1751293565466081991,115,98
2.627655536,2.454161889,0.163216881,0.006939275,1751293567934835031,4000,22000,1751293568098121374,132,200
2.964379578,2.657281292,0.297941283,0.008544864,1751293570764923090,12000,10000,1751293571062862521,62,99
0.760626981,0.513734643,0.234999503,0.009425684,1751293571588592110,10000,12000,1751293571823657945,80,116
1.510004266,1.218155214,0.275464759,0.015564897,1751293573054249709,6000,6000,1751293573329850911,115,63
